"","Var1","Freq"
"1","영화",477
"2","지루",297
"3","마블",245
"4","재미",186
"5","스토리",171
"6","관람객",166
"7","액션",166
"8","블랙",146
"9","진짜",132
"10","기대",121
"11","생각",121
"12","흑인",97
"13","^ㅋ",83
"14","부산",83
"15","최악",62
"16","내용",61
"17","실망",61
"18","주인공",61
"19","노잼",58
"20","와칸다",53
"21","캐릭터",51
"22","역대",50
"23","평점",50
"24","부족",49
"25","하게",49
"26","매력",47
"27","마블영화",42
"28","영상",42
"29","한국말",41
"30","히어로",41
"31","사람",40
"32","해서",39
"33","쿠키",38
"34","하나",38
"35","악역",37
"36","유치",37
"37","^ㅎ",35
"38","시간",35
"39","아프리카",35
"40","배경",33
"41","전개",33
"42","정도",32
"43","개연성",31
"44","최고",30
"45","처음",29
"46","들이",28
"47","마블영화중",28
"48","중간",28
"49","시리즈",27
"50","이번",27
"51","화려",27
"52","장면",25
"53","진심",25
"54","마블이",24
"55","배우",24
"56","ㅠㅠ",24
"57","근데",23
"58","마블은",23
"59","악당",23
"60","예고편",23
"61","이상",23
"62","문제",22
"63","이야기",22
"64","주제",22
"65","수준",21
"66","부분",20
"67","연출",20
"68","진부",20
"69","마지막",19
"70","관람",18
"71","설정",18
"72","유머",18
"73","음악",18
"74","기존",17
"75","뭔가",17
"76","브라",17
"77","사람들",17
"78","설명",17
"79","알바",17
"80","이해",17
"81","인피니티",17
"82","10",16
"83","부산씬",16
"84","영화관",16
"85","전체",16
"86","추천",16
"87","DC",15
"88","결투",15
"89","극장",15
"90","기술",15
"91","기억",15
"92","몰입",15
"93","영웅",15
"94","완전",15
"95","왕위",15
"96","이유",15
"97","인권",15
"98","인피니티워",15
"99","재밌게",15
"100","감독",14
"101","개봉",14
"102","과학",14
"103","관객",14
"104","때문",14
"105","루즈",14
"106","볼거리",14
"107","사회",14
"108","신선",14
"109","의미",14
"110","이거",14
"111","인정",14
"112","친구",14
"113","한국",14
"114","^ㅋ^ㅋ^ㅋ",13
"115","공감",13
"116","시빌워",13
"117","쓰레기",13
"118","어벤져스",13
"119","연기",13
"120","자체",13
"121","점수",13
"122","토르",13
"123","그닥",12
"124","그래픽",12
"125","문명",12
"126","보고",12
"127","빈약",12
"128","스케일",12
"129","여자",12
"130","영상미",12
"131","이후",12
"132","작품",12
"133","하기",12
"134","구성",11
"135","그동안",11
"136","다음",11
"137","등장",11
"138","시빌워에서",11
"139","아쉬움",11
"140","어색",11
"141","인종차별",11
"142","임팩트",11
"143","집중",11
"144","CG",10
"145","개그",10
"146","문화",10
"147","사실",10
"148","세계관",10
"149","솔직",10
"150","슈트",10
