"","Var1","Freq"
"1","영화",411
"2","니퍼",234
"3","연기",205
"4","관람객",165
"5","스파이",163
"6","로렌스",156
"7","반전",94
"8","스토리",80
"9","긴장감",79
"10","제니퍼로렌스",76
"11","진짜",74
"12","최고",68
"13","배우",63
"14","지루",60
"15","몰입",57
"16","매력",51
"17","^ㅋ",49
"18","^ㅎ",47
"19","생각",46
"20","액션",46
"21","첩보",46
"22","마지막",43
"23","기대",42
"24","스릴러",38
"25","내용",37
"26","시간",37
"27","하게",36
"28","관람객제니퍼",35
"29","그녀",33
"30","이해",33
"31","장면",33
"32","해서",33
"33","결말",32
"34","삼촌",32
"35","스릴",32
"36","재미",32
"37","긴장",31
"38","심리",31
"39","잔인",31
"40","매혹적",27
"41","연기력",27
"42","평점",27
"43","여자",24
"44","재밌게",24
"45","분위기",23
"46","상영관",23
"47","연출",23
"48","러시아",22
"49","집중",22
"50","들이",21
"51","이상",21
"52","전체",20
"53","치명",20
"54","탄탄",20
"55","하나",20
"56","섹시",19
"57","전개",19
"58","강렬",18
"59","대단",18
"60","완벽",18
"61","정도",18
"62","로렌스는",17
"63","몸매",17
"64","선정",17
"65","오랜만",17
"66","주인공",17
"67","근데",16
"68","로렌스가",16
"69","사람",16
"70","관람",15
"71","부분",15
"72","음악",15
"73","자극적",15
"74","중간",15
"75","간만",14
"76","관람객제니퍼로렌스",14
"77","역할",14
"78","흥미",14
"79","필요",13
"80","감독",12
"81","남자",12
"82","완전",12
"83","원작",12
"84","초반",12
"85","훌륭",12
"86","^ㄷ",11
"87","140",11
"88","개연성",11
"89","예상",11
"90","기분",10
"91","상영시간",10
"92","실망",10
"93","제니퍼로렌스가",10
"94","추천",10
"95","파격",10
"96","후반",10
"97","극장",9
"98","노출",9
"99","수작",9
"100","요소",9
"101","자체",9
"102","작품",9
"103","잔잔",9
"104","재밌어요",9
"105","재밌음",9
"106","타임",9
"107","표현",9
"108","하기",9
"109","나름",8
"110","러닝",8
"111","모습",8
"112","보는내내",8
"113","부족",8
"114","시간가는줄",8
"115","여배우",8
"116","짜임새",8
"117","ㅠㅠ",8
"118","20",7
"119","관객",7
"120","관람객역시",7
"121","대박",7
"122","도미니카",7
"123","미모",7
"124","발음",7
"125","복잡",7
"126","소름",7
"127","소설",7
"128","여성",7
"129","여주인공",7
"130","유혹",7
"131","인간",7
"132","인상",7
"133","장난",7
"134","재밌",7
"135","정통",7
"136","통쾌",7
"137","평론가",7
"138","허술",7
"139","후회",7
"140","흥미진진",7
"141","^ㅋ^ㅋ^ㅋ",6
"142","10",6
"143","과정",6
"144","레드",6
"145","로랜스",6
"146","마음",6
"147","미국",6
"148","사랑",6
"149","상상",6
"150","상영",6
