"","Var1","Freq"
"1","영화",182
"2","사랑",168
"3","불륜",70
"4","연기",49
"5","관람객",41
"6","가슴",40
"7","감정",37
"8","생각",36
"9","감동",35
"10","사람",32
"11","눈물",30
"12","최고",27
"13","인생",26
"14","일생",25
"15","이해",24
"16","명작",23
"17","스트립",21
"18","클린트",20
"19","기억",19
"20","마음",19
"21","마지막",19
"22","메릴스트립",19
"23","중년",19
"24","하나",19
"25","로맨스",18
"26","장면",16
"27","평생",16
"28","확실",16
"29","배우",15
"30","여자",15
"31","선택",14
"32","여운",14
"33","이야기",14
"34","하게",14
"35","공감",13
"36","섬세",13
"37","20",12
"38","결혼",12
"39","남자",11
"40","원작",11
"41","이스트우드",11
"42","행복",11
"43","미화",10
"44","완전",10
"45","표현",10
"46","그녀",9
"47","들이",9
"48","순간",9
"49","현실",9
"50","10",8
"51","나이",8
"52","남편",8
"53","내용",8
"54","손잡이",8
"55","시간",8
"56","애절",8
"57","30",7
"58","그것",7
"59","누구",7
"60","다리",7
"61","모습",7
"62","몰입",7
"63","스토리",7
"64","엄마",7
"65","작품",7
"66","지루",7
"67","필요",7
"68","가족",6
"69","관람",6
"70","다시보니",6
"71","당신",6
"72","대사",6
"73","매력",6
"74","소설",6
"75","연출",6
"76","자신",6
"77","진짜",6
"78","책임",6
"79","40",5
"80","남녀",5
"81","동안",5
"82","멜로",5
"83","묘사",5
"84","무엇",5
"85","문고리",5
"86","분위기",5
"87","애틋",5
"88","여성",5
"89","오늘",5
"90","외도",5
"91","이별",5
"92","이스트우드가",5
"93","인간",5
"94","입장",5
"95","잔잔",5
"96","절절",5
"97","지금",5
"98","포장",5
"99","프란체스카를",5
"100","간직",4
"101","답답",4
"102","로버트",4
"103","모두",4
"104","목걸이",4
"105","비오는날",4
"106","빗속",4
"107","세상",4
"108","소재",4
"109","소중",4
"110","시절",4
"111","애잔",4
"112","얘기",4
"113","어머니",4
"114","연기력",4
"115","완벽",4
"116","운명",4
"117","의리",4
"118","자식",4
"119","주인공",4
"120","진부",4
"121","처음",4
"122","추억",4
"123","추천",4
"124","카운티",4
"125","클린트이스트우드",4
"126","프란체스카",4
"127","해서",4
"128","후반",4
"129","&#39;",3
"130","25",3
"131","60",3
"132","가을",3
"133","가정",3
"134","가지",3
"135","감독",3
"136","감사",3
"137","감상",3
"138","감성",3
"139","감흥",3
"140","강렬",3
"141","거장",3
"142","누군가",3
"143","눈빛",3
"144","단한",3
"145","도리",3
"146","때문",3
"147","매디슨",3
"148","먹먹하고",3
"149","멜로영화",3
"150","명연기",3
