"","Var1","Freq"
"1","감동",222
"2","영화",109
"3","재미",56
"4","관람객",48
"5","완전",45
"6","눈물",43
"7","^ㅋ",41
"8","진짜",41
"9","아이들",35
"10","친구",33
"11","마지막",30
"12","아이",30
"13","코타케",30
"14","어른",28
"15","캐릭터",28
"16","애니메이션",27
"17","생각",25
"18","군조",24
"19","^ㅎ",22
"20","스토리",22
"21","애니",22
"22","최고",20
"23","기대",19
"24","이거",18
"25","가족",16
"26","우리",16
"27","유치",16
"28","추천",16
"29","여운",15
"30","재밌고",14
"31","내용",13
"32","웃음",13
"33","대박",12
"34","아들",12
"35","감동적",11
"36","엄마",11
"37","우정",11
"38","정말",11
"39","ㅠㅠ",11
"40","들이",10
"41","몬스터",10
"42","시사회",10
"43","이상",10
"44","처음",10
"45","해서",10
"46","중간",9
"47","지루",9
"48","마음",8
"49","사랑",8
"50","재밌게",8
"51","집중",8
"52","10",7
"53","이야기",7
"54","재밌네요",7
"55","조카",7
"56","프렌즈",7
"57","감독",6
"58","감성",6
"59","강추",6
"60","관람",6
"61","더빙",6
"62","사람",6
"63","아기",6
"64","아빠",6
"65","어린이",6
"66","에니메이션",6
"67","재밌어요",6
"68","폭풍",6
"69","표시",6
"70","ㅜㅜ",6
"71","ㅠㅠㅠㅠㅠ",6
"72","3D",5
"73","감정",5
"74","교훈",5
"75","근데",5
"76","나키",5
"77","동생",5
"78","만족",5
"79","멈춤",5
"80","명작",5
"81","목소리",5
"82","몬스터가",5
"83","부분",5
"84","성우",5
"85","순수",5
"86","시간",5
"87","시사",5
"88","장면",5
"89","하게",5
"90","후반",5
"91","^ㅎ^ㅎ",4
"92","가지",4
"93","괴물",4
"94","귀여움",4
"95","따뜻",4
"96","만화",4
"97","모습",4
"98","몬스터들",4
"99","보고",4
"100","사이",4
"101","소중",4
"102","수준",4
"103","이해",4
"104","인간",4
"105","작품",4
"106","재밌음",4
"107","전체",4
"108","초반",4
"109","코타케가",4
"110","평점",4
"111","하기",4
"112","하나",4
"113","후회",4
"114","^ㅎ^ㅎ^ㅎ",3
"115","가슴",3
"116","간만",3
"117","같이봤는데",3
"118","개봉",3
"119","거리",3
"120","귀요미",3
"121","기억",3
"122","꼬맹이",3
"123","남녀노소",3
"124","덕분",3
"125","도깨비",3
"126","돈주고",3
"127","딸아이",3
"128","막판",3
"129","만큼",3
"130","반전",3
"131","버섯",3
"132","비밀",3
"133","선녀",3
"134","실망",3
"135","아내",3
"136","애기",3
"137","애니매이션",3
"138","야마자키",3
"139","어린애",3
"140","엔딩",3
"141","여자",3
"142","연말",3
"143","오늘",3
"144","오랜만",3
"145","요고",3
"146","우리나라",3
"147","음악",3
"148","의미",3
"149","의외",3
"150","장점",3
