"","Var1","Freq"
"1","관람객",350
"2","영화",289
"3","그레이",136
"4","스토리",109
"5","마지막",99
"6","노래",91
"7","진짜",80
"8","시리즈",79
"9","^ㅋ",78
"10","ost",72
"11","음악",69
"12","내용",61
"13","여자",59
"14","사랑",54
"15","^ㅎ",52
"16","생각",47
"17","장면",47
"18","관람",41
"19","남자",38
"20","재미",38
"21","기대",37
"22","친구",37
"23","전편",34
"24","이번",33
"25","OST",32
"26","사람",32
"27","하게",32
"28","ㅠㅠ",31
"29","모습",29
"30","마무리",28
"31","섹시",27
"32","주인공",27
"33","최고",27
"34","배우",25
"35","재밌게",25
"36","들이",24
"37","이해",23
"38","중간",23
"39","행복",23
"40","해서",22
"41","영상미",21
"42","완벽",21
"43","인생",21
"44","전개",21
"45","시간",20
"46","객아",19
"47","연기",19
"48","유치",19
"49","추천",19
"50","do",18
"51","like",18
"52","you",18
"53","아나스타샤",18
"54","me",17
"55","영화관",17
"56","감동",16
"57","소설",16
"58","실망",16
"59","야한",16
"60","하나",16
"61","^ㅎ^ㅎ",15
"62","감정",15
"63","매력",15
"64","변화",15
"65","배경",14
"66","영상",14
"67","처음",14
"68","love",13
"69","결말",13
"70","여성",13
"71","여운",13
"72","여주",13
"73","관람객역시",12
"74","나스타샤",12
"75","만족",12
"76","뭔가",12
"77","분위기",12
"78","쓰레기",12
"79","안보",12
"80","평점",12
"81","표현",12
"82","해방",12
"83","^ㅋ^ㅋ^ㅋ",11
"84","50",11
"85","가지",11
"86","관람객그냥",11
"87","남주",11
"88","로맨스",11
"89","마음",11
"90","몰입",11
"91","완전",11
"92","커플",11
"93","크리스찬",11
"94","편이",11
"95","하기",11
"96","해피엔딩",11
"97","Ost",10
"98","개연성",10
"99","근데",10
"100","꿀잼",10
"101","누구",10
"102","드라마",10
"103","수위",10
"104","신데렐라",10
"105","엔딩",10
"106","이야기",10
"107","정도",10
"108","최악",10
"109","판타지",10
"110","포르노",10
"111","관람객너무",9
"112","기분",9
"113","보는내내",9
"114","성장",9
"115","야하고",9
"116","원작",9
"117","정말",9
"118","진심",9
"119","10",8
"120","깔끔",8
"121","다들",8
"122","대박",8
"123","로맨틱",8
"124","부분",8
"125","비주",8
"126","성인",8
"127","소장",8
"128","아나",8
"129","여주인공",8
"130","연애",8
"131","작품",8
"132","좋았",8
"133","지루",8
"134","회상",8
"135","^ㄷ",7
"136","급전",7
"137","대사",7
"138","무엇",7
"139","변태",7
"140","아나가",7
"141","아쉬움",7
"142","야한걸",7
"143","집중",7
"144","필요",7
"145","해지",7
"146","흥분",7
"147","개봉",6
"148","관람객1,2편",6
"149","관람객역시나",6
"150","관람객재밌어요",6
