"Var1","Freq"
"볼만하구만 평론가랑 알바들 뭐냐 ㅋ 한국영화 치즈인더트랩같은 유치한영화보다 돈쓴맛이라도 나는 헐리웃영화가 차라리 낫구만 ㅋ 박평식이는 베테랑 8점인가 줫던데 이건 4점줫네 ㅇ 베테랑 스토리만 봐도 더 유치한데 ㅋ  ",4
"진짜 친구들한테 보라고 추천 중 꼭 보세요ㅓ  ",2
"&#39;돈에 눈&#39;이 멀어 &#39;태풍의 눈&#39; 속으로 들어가는 사람들의 이야기.  ",1
"... 시나리오가 너무 비현실적이었습니다....후....악역들 너무 불쌍함 ㅠ  ",1
".... 보지마세요 떡볶이 사드세요..  ",1
"0점 주고싶은데ㅠㅠ 평점보고 화이트테이라고 믿고 보고왔는데ㅠㅠ재난 영화 넘나 좋아하는데 정말 억지스럽고 재미없어요 ㅠㅠ  ",1
"1000원도 아깝다 ㅠㅠ  ",1
"100분동안 쉴틈을 안줌ㄷㄷㄷ  ",1
"10점까지는 아니더라도 긴장감 있는 장면들과 전개에 적어도 영화라는걸 봤다...라고 느끼게 해주는 작품. 평점알바가 진짜 있는모양임. 이정도 영화면 돈 아까울 정도는 절대 아님 ㅎㅎ  ",1
"1점도 아깝다 밑에 전부 알바들  ㅋㅋㅋ 삼류 스토리에다 80년대 액션감성 ㅋ 댓글보고4DX봤는데  비맞고싶음가여  ",1
"2015년도최고영화등극.  ",1
"2시간 동안 정말 허리케인 맞고 온듯.  긴장감으로 전혀 지루하지 않고 재미있었어요.  ",1
"3 류 액션 영화를 보는거 같았다... 악당도 멍청하고 눈알만 희번덕 ..  ",1
"30분 본것같은데 영화가 끝나있었다 마지막도 깔끔했고 치고박고 정신없이 보다가 영화 끝난다 / 스토리 전개빠르다, 제작료가 적게들어간 영화인건 맞는것같다  ",1
"4D 로 꼭 보세요. 지렸습니다. 진심으로 ㅋㅋ 평점 처음 남겨요  ",1
"4D 영화관에서도 볼 수있게 해주세요.태풍의 무서움과 자연에 의한 권선징악도 나와요.  ",1
"4dx 넘 추워~~2d로 볼바엔 몇천원 더 추가해서포디봐도 안아깝네요~뻔해도 재미있는게 재난영화 아니겠습니까?! ㅎㅎ  ",1
"4DX로 보지 않으면 딱히 매력 없을 영화. 오락용으로 아무 생각없이 영화 즐기고 싶은 분들께 추천. 4DX로 보았는데 몰입감이 좋아서 시간이 금방 지나갔음. 4DX로 봐야 돈이 안 아까울 영화.  ",1
"4dx로 봤는데 진짜 스릴 넘치고 재밌었다  ",1
"4D로 보니까 꽤나 재밌네요  ",1
"4D로 봐야하는데 아쉽네요 영화는 볼만했어요  ",1
"4D보라고 하는 알바새키들 작작해라 이런걸 4D로 보는 사람이 빙구다 진심이다  ",1
"4D에 의한 느낌은 좋았는데 영화는 글쎄...각본도 그렇고..중간중간 필요없는 대화도 그렇고..그렇게 추천할만한 영화는.아닌데 그냥 보기에는 무난한데..만오천원주기는 조금 아까운..ㅜ.ㅜ  ",1
"4D짱인듯 ㅜㅜㅎㅎ 효과 엄처 마늠!  ",1
"6천억훔칠려고개고생하는영화  ",1
"80~90년대의 대사와 cg. 스토리도 엉성한게 탄식만 하다 나옴. 관람객 5명이었음  ",1
"80년대 tv에서 보던 영화  ",1
"9점 되는 영화는 아니라고 개인적으로 생각합니다.쇼핑몰에서도 그렇고 밖에서도 그렇고 허리케인으로 인해 모든 날아다니는 파편물들이 악당들만 맞고 주인공들은 몸에 상처하나 총상하나 안입는게 너무 몰입감을 떨어뜨립니다.  ",1
"A급을 가장한 B급 태풍영화.군데군데 엉성한 면이 있지만 A급 망작보다 괜찮다. 그래도 인투더스톰 같은 진짜 태풍영화에는 못 따라온다. 태풍의 cg에는 괜찮게 연출한거 같은데 시나리오가 많이 아쉽다.재난,스피드,007 합작인줄 알았네. 킬링타임용  ",1
"BEST무조건 4D로 봐야 진리ㅋㅋ 바람불고 물튀기고 진짜 나 허리케인 오는줄ㄷㄷ  ",1
"BEST박진감 넘치고 재밌네요 허리케인 장면들도 웅장하고 액션도 스릴있고  ",1
"BEST이번에는 허리케인이 내딸을 납치해갔다.  ",1
"BEST조조로 보고 옴. 열라 잘만든 영화까지는 아니더라도 생각없이 보기 좋음. 전개도 빠르고 액션도 틈틈히 열일함. 허리케인이라는 소재에 범죄가 더해져서 그런가 긴장감도 나쁘지 않았음. 여튼 잘봤습니다  ",1
"BEST태풍은 진짜 멋있게 만들었더라구요 평균정도 됩니다  ",1
"Brave brothers..검은표범보다 재밌는데??!!  ",1
"B급 스토리,  B 급  배우,  B급  연출,  B급  특수효과.  ",1
"B급 영화느낌 근데 재밌긴함 마지막 부분에 자동차 액션? 쩐다고 생각헀는데 분노의질주 감독이었구만;; ㄷ ㄷ  ",1
"b급 영화인줄 알고   봤다  의외로 기대 이상이였다. b급은 아닌거 같음  ",1
"B급 재난영화와B급 강도액션물이 합쳐져 A급 영화가 됨 두가지영화를 동시에 보는 느낌  ",1
"B급 킬링타임 액션영화 감안하고 보면 나쁘지 않음 하지만 복사 붙여넣기 수준의 캐릭터와 황당한 이야기  ",1
