"Var1","Freq"
"마음이 따뜻해지는 영화  ",5
"관람객웃기고 슬프고 재미있다ㅠㅠ  ",4
" 진짜 ㄹㅇ 인생영화 후반에 펑펑울어요....꼭한번 보세용  ",2
"감독 지금 만나러 갑니다 ..  ",2
"감정선연기 장난아니구 눈물개짬요..  ",2
"개꿀잼...원래 로맨스 안좋아하는데 진짜 명작이네요ㅠ  ",2
"개연성 완전 엉망. 뜬금 없는 코믹 요소와 까메오 출연, 갑작스런 음향 효과로 깜짝 놀라기도 몇번. 로맨스물인데 모성애가 더 강조돼 애매함. 배우, 연기, 배경은 좋았다만 결론은 웃기려다가 갑자기 내용 설명하려다 마지막에 슬픔을 몰빵하려는 어색함.  ",2
"관람객다시봐도 재밋다. 울기도 한다.  ",2
"관람객재밋고 굿굿 원작에 뒤쳐지지 않음  ",2
"내용 다 알고 봤지만 눈물콧물 엄청 흘리고 옴  ",2
"너무 슬프고 아름다운 영화  ",2
"너무 재미있었어요 ㅠㅠ  ",2
"띵작띵작띵작띵작띵작  ",2
"뭔가가 부족..눈물 안나던디..ㅠ  ",2
"보는내내 너무 행복했습니다  ",2
"사랑하고 싶어지는 영화였습니다.  ",2
"웃음도 있고 감동도 있는  ",2
"원작 좀 망치지 말자 ..  ",2
"이제 만나고 왔습니다.. 나라면 같은 선택을했을까?  ",2
"지금 만지러 갑니다...  ",2
"지금.. 만나러 갑니다  ",2
"한번 더 보고싶다라는 생각이 들 정도로 정말 재미있고 감동적인 영화네요  ",2
"  &#34;지금 만나러 갑니다.&#34; 이 평범한 제목이 이토록 강렬한 감동일 줄이야...보고나와서의 먹먹함은 제목이 다했네요. 자신의 운명을 알고도 선택한 그녀의 용기와 사랑이 감동입니다. 오래 기억남을 것 같아요.  ",1
" 남녀 로맨스뿐만 아니라 가족애까지 느낄 수 있는 가슴 따뜻해지는 영화입니다  ",1
" 남주 매력이 좀 약해서 그렇지 꽤 괜찮았어요  ",1
" 보는 내내 훌쩍이는  아내가 너무 사랑스러운 영화 였어요  엔딩자막 올라 갈때 &#39;스쿠프남○○○&#39;라고 씌였던데  &#39;티뷰론남&#39; 으로 바꿔야 하지 않나요?ㅋㅋ 그것도 연출일래나?  ",1
" 산에올라가서 망원경으로 자동차극장 볼때 나오던 영화가 이터널선샤인 이라는거 다들 아셨는지요,  ",1
" 센스와 위트가 느껴지는 재미 , 잔잔하고 훈훈한 마무리 . . . 영상 그림이 예뻤고 소지섭의 또 다른 면모를 볼 수 있어 좋았다 . 감독님의 첫 작품치고 넘 잘한거 아닌가 시작부터 내내 감동받았습니다 .  ",1
" 순애보 사랑에 애틋했고. 자식이 있어 더 공감됐고 마지막장면까지 저에겐 완벽했던 영화였어요.믿고보는 소지섭영화. 그 이상이었고.생각치못한 카메오들까지 너무 좋았어요^^  ",1
" 연애하던 기억이 나도록 해주는 영화다.너무 너무 웃기고.. 슬프고.. 가족의 중요함을 깨달개하는 영화니 정말 꼭 보세요~ 추천합니다~  ",1
" 오랜만에 멜로영화 아역배우 연기잘하네요  ",1
" 울다가 웃다가 봄에 딱맞게 설렘가득하면서 슬프기도 한 감성가득한 영화였어요~  ",1
" 원작보다 잼났어요약간 다른 점도 있고  원작보다 한표  ",1
" 일본원작에는 못미쳐서 아쉽네요,다른 매력이있길하지만 원작이워낙 대박인지라  ",1
" 자녀가 있는 부부끼리 보면 폭풍눈물 흐릅니다  ",1
" 잼있어서 울고 슬퍼서 울고 2콤보  ",1
" 저는 이영화를 좋아할수밖에없나봐요 끝나고 집에오는데 봄비가오네요..그리고 더 스테이지 티비에서 길구봉구가 이별불러주는데 뭐죠? 감성충만드는 영화네진짜ㅠㅠ 갓지섭 갓예진 연기력 구멍 없고 조금아쉽다면 전형적인 판타지..일본영화라는 느낌 100입니다!  ",1
" 정말 돈이 아깝지않은 영화였습니다캐스팅 정말 오졋구여근데 제가 배우했으면글로벌 수천만관객 인정하시죠?  ",1
" 최고슬퍼서 눈물 쏟음진짜 감동이였습니다  ",1
" 현실성 없는 이야기에 나도 모르게 몰입되고 웃긴영화  ",1
