"Var1","Freq"
" 재미있어요. 초등학교 저학년은 더 추천합니다  ",1
"♡최고 웬만한 영화들보다 짜임새 구성  ",1
"100분 동안 벌어지는 동화 같은 곰돌이 이야기입니다 ^^ 성인 혼자 봐도 좋고 연인끼리 봐도 좋고 아이들끼리 봐도 좋고 참 좋은 가족 영화긴 한데.. 개인적으로는 1편에 비해 패딩턴의 등장 시간이 적어진 거 같아 좀 아쉽습니다  ",1
"100점 만점에 1000점  ",1
"10살 아이랑  잼있게봤어요...  그전걸 못봤는데 찾아봐야겠어요...  ",1
"1도 재밌는데 시즌2는 더 재밌네요.포인트가 너무 많고 진짜 씹덕터져서 죽는줄 알았어요.3편도 꼭 만들어주세요.패딩턴 제작진 분들 모두 감사합니다ㅠㅠ딩턴아 사랑해ㅠㅠㅠㅠ  ",1
"1보다 재밌고 패딩턴이 더 귀여워졌고 스토리가 더 재밌네요  ",1
"1보다 잼나욬ㅋㅋㅋㅋ귀여워ㅋㅋㅋ큐ㅠㅠㅠ  ",1
"1점도아까워ㅠㅠ블랙펜서나봐야지  ",1
"1탄만큼의 재미에 조금 더 커진 뭉클함!  ",1
"1편 안보고 갔는데 그럭저럭 재밌고 훈훈함. 곰돌이 넘 귀엽고 영국 발음이라 섹시함.  ",1
"1편과는 비교도 안되게 진짜 재미 있어요!!!  ",1
"1편도 디테일 살아있고영국 관광하는것 같았는데2편은 더 신비롭고 익사이팅 했다는 :)휴그렌트 오빠 많이 늙었네 ㅠㅠ  ",1
"1편도 봤는데 더 재미있어요...이야기는 어찌보면 평범한데 그걸 표현하는 방식이 세련되어서 어른이 보기에도 좋아요. 전 9세 아들이랑 봤는데 둘다 재미있다고 웃었어요.  ",1
"1편도 재미있게 봤는데 2편 역시 실망시키지 않네요! 오히려 2편이 더 재미있었던 것 같아요  ",1
"1편도 재밌게 봤는데 2편이 더 재밌을줄이야.!명절쯤에 개봉한 그저그런 코미디 영화로 치부되기엔 너무나 아쉽다.얼른 입소문나길!  ",1
"1편보다 귀엽곰 사랑스럽곰  ",1
"1편보다 더 감동적이었던 2편! ♡  ",1
"1편보다 더 꿀잼! 패딩턴은 항상 슬픈 요소가 있어요. 그래서 더 감동. 빨리 3편 만들어주세요!  ",1
"1편보다 뭔가 조금 부족했지만 꿀잼!!! 휴그랜트는 진짜 남자가 봐도 존멋이더라  ",1
"1편보다 훨씬 재밌었어요. 애들이랑 보는데 내가 더 웃은 것 같아요. ㅎㅎㅎ 남편 데리고 한 번 더 보고 싶을 정도예요. 무릇 진정한 가족영화란 이런 것이 아닐까 싶네요!  ",1
"1편보다 훨씬 재밌잖아  ",1
"1편안보고봤는데 짱재밌음 ㅠaunt lucy said~  ",1
"1편에선 민폐발암곰이었지만 이번엔 개과천선함 그리고 유치한데 졸라 어이없게 웃김ㅋㅋㅋㅋ  ",1
"1편은 너무 재밌게 봤다. 2편은 그냥 어린이용 소품. 어른이 보기엔 무리. 실망스럽다.  ",1
"1편은 못봤지만 너무 재미있고 따뜻하게 봤습니다. 지루할틈없이 웃으면서 봤네요 ㅎ 패딩턴 너무 귀여워요 ^^  ",1
"1편을 워낙 재미있게 봐서 2편도 솔직히 기대했는데보통 기대가 크면 실망이 큰 경우도 많고 속편은 전편보다 못한경우도 많은데  그 반대로 패딩턴 2는 기대 이상이었어요  남녀노소 누가봐도 좋은영화  정말 훈훈하고 따뜻한 영화입니다^^  ",1
"1편이 악당에게 쫓기는 패딩터이라면 2편은 악당을 쫓는 패딩턴!!! 속도감 까지 더해진 꿀잼!  ",1
"1편이랑 비슷하긴 한데 겁나 재밌음ㅋ  ",1
"2017 2018 본 영화 통틀어 가장 좋았어요! 마음 따뜻해지고 재밌었던 영화에요 ㅠㅠㅠ 코코보다 좋았습니다!1편 안 봤는데 찾아서 보려구요  ",1
"25,27살먹었는데 영화관에서 애들보다 더 재밌게본거같아요 ㅋㅋㅋ 진짜 넘 사랑스럽고 귀여운 영화네요 한번 더 보려구요 완전 취향저격입소문좀 탔으면!  ",1
"2편이 더 아기자기하고 보기 좋았음..3편도 나오길 기대  ",1
"3편이 벌써부터 기대가 됩니다. 초반에 잠시 잠시 나왔던 것도 단하나 그냥 넘어가는 것 없이 나중에 쓰입니다. 그런면에서 참 좋고 나이 상관없이 즐길 수 있는 영화 인 것 같습니다.  ",1
"5살 아이와 봤는데 엄청 재밌게 보더군요ㅋ 물론 36살도 재밌게봤어요ㅋ  ",1
"7세 아들 보여주려고 같이 본 영화~제가 더 재미있게 봤어요. 중간중간 빵터지는ㅋㅋ패딩턴2 보기 전날 패딩턴1 보고 갔는데 어떤게 더 재미있냐니깐 울아들램 왈 &#34;1은 더재미있고 2는 더 웃겨~&#34;ㅜㅜ 끝까지 재미있는것과 웃긴건 다르다네요ㅋ  ",1
"8살짜리 아이와 너무 너무 재미있게 봤습니다.더빙판말고 자막버젼으로 다시 보고 싶네요  ",1
"9살 5살 딸내미들과 재미나게보고 왔어요~~~ 1편은 안봤는데 집에 와서1편까지. 다운받아 봤네용~~^^귀엽고 코믹하고 감동있고 잼있어용  ",1
"BEST1보다 나은 속편 없다는 말은 이걸로 깨진 듯. 재밌고 귀여워요!!  ",1
"BEST걍 웃김ㅜㅜ 오랜만에 영화관에서 크게 웃고 나왔다ㅋㅋㅋ 꼭 보셈 존나 귀여우니까ㅜㅜ  ",1
"BEST끝날때 까지 지루할 틈이 없다  ",1
