"","Var1","Freq"
"1","영화",478
"2","액션",260
"3","관람객",234
"4","게임",219
"5","스토리",164
"6","기대",116
"7","^ㅋ",100
"8","재미",98
"9","원작",97
"10","생각",94
"11","진짜",92
"12","주인공",73
"13","내용",66
"14","지루",62
"15","툼레이더",62
"16","매력",59
"17","시간",54
"18","알리시아",54
"19","여주인공",53
"20","다음",51
"21","여자",48
"22","^ㅎ",47
"23","재밌게",47
"24","개연성",44
"25","여주",44
"26","비칸데르",41
"27","연기",41
"28","장면",41
"29","배우",39
"30","긴장감",37
"31","시리즈",37
"32","안젤리나",36
"33","이상",36
"34","최고",36
"35","나름",35
"36","전개",35
"37","리부트",34
"38","평점",34
"39","완전",33
"40","사람",32
"41","중간",32
"42","캐릭터",29
"43","초반",26
"44","라라",25
"45","몰입",25
"46","캐스팅",25
"47","스케일",24
"48","여주가",24
"49","정도",24
"50","뭔가",23
"51","부족",23
"52","스릴",22
"53","시나리오",22
"54","오랜만",22
"55","하나",22
"56","실망",21
"57","여배우",21
"58","이해",21
"59","흥미",21
"60","부분",20
"61","해서",20
"62","현실",20
"63","라라가",19
"64","마지막",19
"65","설정",19
"66","속편",19
"67","하게",19
"68","관람객그냥",18
"69","근데",18
"70","들이",18
"71","시작",18
"72","아빠",18
"73","연출",18
"74","대박",17
"75","모험",17
"76","성장",17
"77","모습",16
"78","비교",16
"79","액션영화",16
"80","후속",16
"81","감독",15
"82","개봉",15
"83","극장",15
"84","아버지",15
"85","^ㄷ",14
"86","관람",14
"87","만족",14
"88","여성",14
"89","툼레이더는",14
"90","여전",13
"91","이번",13
"92","처음",13
"93","편도",13
"94","흥미진진",13
"95","^ㅋ^ㅋ^ㅋ",12
"96","고생",12
"97","마음",12
"98","만큼",12
"99","미이라",12
"100","보고",12
"101","볼거리",12
"102","비칸데르가",12
"103","알바",12
"104","작품",12
"105","필요",12
"106","훌륭",12
"107","^ㅎ^ㅎ",11
"108","감동",11
"109","긴장",11
"110","노잼",11
"111","성공",11
"112","심장",11
"113","억지",11
"114","이거",11
"115","자체",11
"116","재밌고",11
"117","전체",11
"118","중국",11
"119","진심",11
"120","최악",11
"121","킬링타임",11
"122","킬링타임용으로",11
"123","10",10
"124","관객",10
"125","꿀잼",10
"126","남자",10
"127","배경",10
"128","아쉬움",10
"129","이야기",10
"130","자전거",10
"131","진부",10
"132","추천",10
"133","충분",10
"134","화려",10
"135","기존",9
"136","답답",9
"137","로운",9
"138","아이맥스",9
"139","안보",9
"140","안젤리나졸리",9
"141","어드벤쳐",9
"142","엉성",9
"143","영화였",9
"144","오락영화",9
"145","유치",9
"146","인디아나",9
"147","인디아나존스",9
"148","재밌",9
"149","중국인",9
"150","탄생",9
