"Var1","Freq"
"Remember me  ",15
"관람객Remember me  ",9
"관람객마음이 따뜻해지는 영화  ",6
"마음이 따뜻해지는 영화  ",5
"관람객Remember me...  ",4
"관람객가족이 생각나는 따뜻한 영화였습니다 ㅎ  ",4
"관람객먼저 떠난 우리 아들도 저렇게 멋진데서 잘 지내길..평생 기억할께 꼭 다시 만나자  ",4
"관람객재미있게 잘 봤습니다.  ",4
"remember me  ",3
"관람객감동적이고 재미있었어요  ",3
"관람객감동적이고 재밌었어요  ",3
"재밌고 감동적이고 음악도 좋게 잘 들었습니다 엄청 울었네요  ",3
"제삿상 가즈아ㅏㅏㅏㅏ  ",3
"Remember me..  ",2
"Remember me...  ",2
"Remember me~  ",2
"같이 보던 딸이 너무 서럽게 울어서 깜놀... 어른도 아이에게도 좋았던 영화  ",2
"관람객remember me  ",2
"관람객Remember me~  ",2
"관람객가족과 함께 보기 좋아요 마음 따뜻해지네요  ",2
"관람객가족을 돌아볼 수 있는 영화입니다  ",2
"관람객가족의 소중함을 느낄수 있는 좋은 가족영화입니다.  ",2
"관람객가족의 소중함을 알게해주는 영화  ",2
"관람객감동적이었습니다 추천해요  ",2
"관람객감동적이였어요~~^^  ",2
"관람객굿입니다~ 눈물도 찔끔 나오네요~  ",2
"관람객기대없이 봤는데 재미있네요  ",2
"관람객기대하고갔는데도엄청재밌었음  ",2
"관람객너무 감동적이었어요~  ",2
"관람객너무 재밌어요 8살아이도 재밌게 보내요  ",2
"관람객너무너무재밌고 감동적이였어요 ㅠㅠㅠ  ",2
"관람객노래와 영상미 그리고 스토리도 좋고 재밌어요 근데 주인공 이 너무 빡쳐서 도중에 나오고싶었어요 같이본 초등 동생은 재밌다고 좋아했습니다  ",2
"관람객누군가의 기억이 사람을 또 살게한다는 얘기  ",2
"관람객눈의여왕이 나와서 좀 당황했다는~기대가 컷나봅니다ㅋ 기대없이 보세요  ",2
"관람객마음이 따뜻해지는 영화.  ",2
"관람객아..너무 좋은 영화였어요..7살 5살 두딸과 함께 울었네요...끝나고 나서도 마음깊이 잔잔한 감동이 남아서 아이들과 계속 얘기를 할수 있어서 좋았어요..저보다도 아이들 눈에도 좋은 영화였나봐요  ",2
"관람객아이들과 함께 무척 재미있게 봤어요  가족간의 이해가 얼마나 소중한지 알려주고 멋진 기타소리와 음악이 어울어진 즐겁고 감동적인 영화에요♡  ",2
"관람객아이들이 너무 좋아하네요  ",2
"관람객아이들이 재밌었다고 하네요  ",2
"관람객역시 믿고보는 픽사! 넘나마음따뜻해지네요♡ 저도꼭 저세상에서 가족들을 만났으면 좋겠어요  ",2
