"","Var1","Freq"
"1","영화",617
"2","이승",244
"3","연기",184
"4","관람객",179
"5","진짜",164
"6","^ㅋ",163
"7","재미",142
"8","평점",132
"9","사극",116
"10","^ㅎ",112
"11","궁합",111
"12","배우",109
"13","생각",97
"14","스토리",88
"15","심은경",84
"16","사랑",74
"17","기대",71
"18","관상",67
"19","시간",65
"20","유치",64
"21","중간",64
"22","지루",59
"23","재밌게",57
"24","최악",55
"25","들이",52
"26","내용",51
"27","사람",48
"28","알바",47
"29","영상미",46
"30","하게",44
"31","유쾌",41
"32","가족",40
"33","해서",39
"34","감동",38
"35","10",37
"36","오랜만",35
"37","인생",34
"38","상큼",33
"39","노잼",32
"40","드라마",32
"41","웃음",32
"42","로맨스",31
"43","대사",30
"44","완전",30
"45","관람",29
"46","마지막",28
"47","추천",28
"48","마음",27
"49","장면",25
"50","청춘",25
"51","코미디",25
"52","^ㅎ^ㅎ",24
"53","다들",24
"54","무엇",24
"55","색감",24
"56","어색",24
"57","영상",24
"58","친구",24
"59","목소리",23
"60","진심",23
"61","개연성",22
"62","댓글",22
"63","따뜻",22
"64","매력",22
"65","이거",22
"66","처음",22
"67","하나",22
"68","연기력",21
"69","기분",20
"70","누구",20
"71","서도윤",20
"72","이상",20
"73","감독",19
"74","간만",18
"75","몰입",18
"76","사람들",18
"77","소재",18
"78","실망",18
"79","영화관",18
"80","나름",17
"81","대박",17
"82","연인",17
"83","이해",17
"84","정도",17
"85","ㅠㅠ",17
"86","^ㅋ^ㅋ^ㅋ",16
"87","수준",16
"88","작품",16
"89","잔잔",16
"90","정말",16
"91","보고",15
"92","쓰레기",15
"93","엄마",15
"94","전개",15
"95","결말",14
"96","봄날",14
"97","재밌고",14
"98","전체",14
"99","코믹",14
"100","여자",13
"101","오늘",13
"102","요소",13
"103","주인공",13
"104","집중",13
"105","한국영화",13
"106","관람객너무",12
"107","옹주",12
"108","의외",12
"109","이야기",12
"110","남자",11
"111","보는내내",11
"112","부분",11
"113","분위기",11
"114","어디",11
"115","억지",11
"116","잼나게",11
"117","조연",11
"118","좋았",11
"119","캐스팅",11
"120","포인트",11
"121","풋풋",11
"122","관객",10
"123","관람객가볍게",10
"124","극장",10
"125","네이버",10
"126","돈주고",10
"127","심은경은",10
"128","예상",10
"129","이유",10
"130","재밌는",10
"131","재밌어요",10
"132","조복래",10
"133","중요",10
"134","초반",10
"135","무난",9
"136","봤습니",9
"137","심은경씨",9
"138","아쉬움",9
"139","연출",9
"140","염력",9
"141","우리",9
"142","유머",9
"143","이걸",9
"144","최고",9
"145","캐릭터",9
"146","탄탄",9
"147","편집",9
"148","한복",9
"149","개그",8
"150","공감",8
