"","Var1","Freq"
"1","영화",698
"2","드라마",605
"3","연기",280
"4","진짜",257
"5","원작",235
"6","유정",215
"7","배우",208
"8","시간",194
"9","싱크로",171
"10","내용",169
"11","웹툰",154
"12","생각",118
"13","오연서",110
"14","스토리",101
"15","평점",99
"16","선배",95
"17","재미",92
"18","사람",87
"19","^ㅋ",83
"20","중간",80
"21","치인트",79
"22","캐릭터",75
"23","개연성",74
"24","캐스팅",73
"25","이해",72
"26","10",70
"27","들이",70
"28","어색",69
"29","재밌게",68
"30","홍설",66
"31","관람객",64
"32","웹툰을",63
"33","^ㅎ",57
"34","기대",56
"35","박해",54
"36","해서",54
"37","지루",48
"38","하게",48
"39","스릴러",47
"40","로맨스",46
"41","장면",45
"42","하나",44
"43","백인",43
"44","최악",40
"45","연기력",39
"46","안마",37
"47","이상",37
"48","대박",36
"49","연출",36
"50","완전",36
"51","의자",36
"52","ㅠㅠ",36
"53","몰입",35
"54","부족",35
"55","대학생",34
"56","전개",34
"57","부분",33
"58","아쉬움",33
"59","결말",32
"60","김고은이",32
"61","진심",32
"62","만족",31
"63","만화",31
"64","나름",30
"65","말투",30
"66","집중",30
"67","실망",29
"68","이거",29
"69","친구",28
"70","대사",26
"71","이야기",26
"72","처음",26
"73","최고",26
"74","때문",25
"75","보고",25
"76","안보",25
"77","자체",25
"78","정도",25
"79","비주",24
"80","충실",24
"81","^ㅎ^ㅎ",23
"82","뭔가",23
"83","방대",23
"84","노잼",22
"85","사람들",22
"86","장르",22
"87","광고",21
"88","근데",21
"89","댓글",21
"90","오연서가",21
"91","중요",21
"92","연애",20
"93","표현",20
"94","보는내내",19
"95","알바",19
"96","영화관",19
"97","주인공",19
"98","감독",18
"99","감정",18
"100","마지막",18
"101","웹툰이랑",18
"102","초반",18
"103","다들",17
"104","매력",17
"105","비교",17
"106","비슷",17
"107","압축",17
"108","얼굴",17
"109","진이",17
"110","^ㅋ^ㅋ^ㅋ",16
"111","오연서는",16
"112","인물",16
"113","풋풋",16
"114","김고은",15
"115","나이",15
"116","분량",15
"117","쓰레기",15
"118","연결",15
"119","완벽",15
"120","외모",15
"121","이걸",15
"122","편집",15
"123","하기",15
"124","20",14
"125","누구",14
"126","느낌",14
"127","무리",14
"128","성격",14
"129","여자",14
"130","웹툰과",14
"131","포인트",14
"132","관람",13
"133","사건",13
"134","사랑",13
"135","씽크로율",13
"136","에피소드",13
"137","유인",13
"138","재밌어요",13
"139","정말",13
"140","추천",13
"141","구성",12
"142","마음",12
"143","만큼",12
"144","문제",12
"145","유치",12
"146","이유",12
"147","챕터",12
"148","홍설이",12
"149","개봉",11
"150","관객",11
