"Var1","Freq"
"  아무것도 하지 않거나 숨기는 아들보다  표현하고 간섭하게 하는 아들이  다행스럽지않은가!  ",1
"&#39;20세기 여성들&#39;!! 너무 좋았습니다  ",1
"15세 치곤 선정적인 면도 있었음. 그리고 뭔가 액자식으로 천천히 진행되다가 급전개로 의외의 결말이 나는데서 놀랐음  ",1
"1960년대가 갖고 있던 에너지들이 어디론가 사라지고권태와 좌절이 지배하던 1970년대를 담담히 응시하는 영화. 되바라진 그녀들의 태도가 설득력을 갖고 있던 시대. I love 70s.  ",1
"1979년을 배경으로, 어른의 씁쓸한 지혜와 젊은이의 어리석은 열정이 뒤섞여 나아가는 개인의 삶과 역사를 그린다. 뼈 있는 대사를 포장없이 직설적으로 계속 내뱉어서 명언집이나 지침서 읽고 온 느낌...담배는 20세기의 유물이니 21세기에는 조금만!  ",1
"1979년이면 내가 태어났을 떄인데 미국 이야기인데도 뭔가 공감이 가네 나는 저들의 현제에 태어난....  ",1
"20세기에 50여 년을 넘게 살아온 나의 20세기는 어떠했을까? 반항과 열심히 살아온 죄밖에 없는 거 같다.  ",1
"20세기에 보내는 감독의 애정이 고스란히 느껴진다  ",1
"20세기와 21세기 세대 갈등만이 아닌, 20세기 안에서도 세대 갈등이 있었다는 것을 보여줌. 한국인의 시각보다 미국인들이 당시 살았던 사회상을 이해해야 이 영화를 이해할 수 있을 것. 색감이나 음악은 영화 &#39;그녀&#39; 제작진 참여로 좋았던 것은 분명.  ",1
"70년대가 배경이지만 미래적인 느낌도 나고, 향수가 느껴지지만 또 세련됐다. 좋은 대사가 많았는데 빠르게 넘어가서 또 보러 갈 참.  ",1
"BEST내가 정말 1979년에 살고 있는 듯한 ㅠㅠ 뭉클한 감동까지.. 영상미도 너무 좋다  ",1
"BEST요즘 좋은영화 많이 만나네..약간 어렵고 난해할수 있지만, 생각하게 하고 깨닫게 하는..여운도 남는다  ",1
"BEST이런 영화 상영관 좀 늘려라;  ",1
"BEST인생은 절대 마음처럼 흘러가지 않아.  ",1
"BEST작은 연대가 주는 힘, 아날로그 시대를 살았던 세대가 디지털 시대를 살아가는 세대에게 들려주는 따뜻한 이야기  ",1
