"","Var1","Freq"
"1","영화",355
"2","언론",232
"3","관람객",200
"4","연기",83
"5","스트립",65
"6","생각",54
"7","국민",52
"8","지루",49
"9","배우",48
"10","하게",46
"11","들이",45
"12","언론인",41
"13","자유",41
"14","우리나라",39
"15","여성",38
"16","감독",35
"17","감동",34
"18","역할",34
"19","몰입",33
"20","스필버그",32
"21","최고",32
"22","스토리",31
"23","연출",31
"24","내용",30
"25","역사",30
"26","통치자",29
"27","긴장감",28
"28","진짜",28
"29","훌륭",28
"30","이유",27
"31","사람",26
"32","선택",26
"33","이야기",26
"34","페미니즘",26
"35","스티븐",25
"36","기자",24
"37","진실",24
"38","메릴스트립",23
"39","시간",23
"40","우리",23
"41","작품",22
"42","재미",21
"43","관람",20
"44","모습",20
"45","시대",20
"46","중요",20
"47","초반",20
"48","용기",19
"49","사회",18
"50","소재",18
"51","존재",18
"52","대사",17
"53","대한",17
"54","민국",17
"55","해서",17
"56","결정",16
"57","전개",16
"58","필요",16
"59","무엇",15
"60","신문",15
"61","의미",15
"62","행크스",15
"63","거장",14
"64","권력",14
"65","대단",14
"66","명배우",14
"67","미국",14
"68","완벽",14
"69","장면",14
"70","정도",14
"71","진정",14
"72","집중",14
"73","포스트",13
"74","가치",12
"75","공감",12
"76","기대",12
"77","나라",12
"78","마지막",12
"79","민주주의",12
"80","상영관",12
"81","성장",12
"82","신념",12
"83","위대",12
"84","자신",12
"85","정말",12
"86","평점",12
"87","하나",12
"88","그것",11
"89","사건",11
"90","사명감",11
"91","섬세",11
"92","추천",11
"93","톰행크스",11
"94","하기",11
"95","게이트",10
"96","과정",10
"97","기사",10
"98","긴장",10
"99","메세지",10
"100","사실",10
"101","사이",10
"102","세상",10
"103","언론사",10
"104","워터",10
"105","재밌게",10
"106","정의",10
"107","관람객메릴스트립",9
"108","메시지",9
"109","묵직",9
"110","부분",9
"111","스크린",9
"112","스포트라이트",9
"113","연기력",9
"114","오랜만",9
"115","이해",9
"116","자체",9
"117","주제",9
"118","표현",9
"119","후반",9
"120","가슴",8
"121","결말",8
"122","권리",8
"123","뉴스",8
"124","목소리",8
"125","사람들",8
"126","순간",8
"127","신문사",8
"128","실화",8
"129","오늘",8
"130","워싱턴",8
"131","인간",8
"132","흥미",8
"133","^ㅋ",7
"134","결단",7
"135","구성",7
"136","명작",7
"137","모두",7
"138","상황",7
"139","스릴러",7
"140","스필버그가",7
"141","스필버그는",7
"142","쓰레기",7
"143","연출력",7
"144","인쇄",7
"145","전쟁",7
"146","정부",7
"147","정치",7
"148","처음",7
"149","흡입력",7
"150","^ㄱ",6
