"Var1","Freq"
"최고  ",15
"굿  ",9
"감동  ",7
"good  ",5
"내 인생 최고의 영화  ",5
"최고의 영화  ",5
"최고.  ",4
"최고!  ",3
"..  ",2
"감동 그 자체  ",2
"감동적인 영화  ",2
"굿!  ",2
"굿.  ",2
"꼭보세요 두번보세요 세번보세요  ",2
"내 생애 최고의 영화  ",2
"명작  ",2
"별로  ",2
"아름다운 영화  ",2
"액션이 가져야할 호흡법을 버리는대신 테크닉은선택한영화  ",2
"잊혀지지 않는 마지막 감동~  ",2
"재미없다  ",2
"재밌다  ",2
"재밌음  ",2
"정말 멋져요  ",2
"좋다  ",2
"좋습니다.  ",2
"좋은 영화.  ",2
"좋은영화  ",2
"진짜 최고  ",2
"최고!!  ",2
"최고다  ",2
"최고의 영화..  ",2
"평점 너무 높아요..한 9.0점 정도...???  ",2
"----------------------------No. 1------------------------------  ",1
"--; 지루하다  ",1
"-=-=-=-=-=-=-=  ",1
" 2번봤다. 진짜재미있다.  보고나서발레하고싶은  ",1
" Good~  ",1
" 간만에 정말 좋은영화를 봐서 너무 기뻣습니다  ",1
" 난 오늘도 낚이고말았다...흑흑  ",1
