"","Var1","Freq"
"1","콘서트",105
"2","영화",103
"3","감동",63
"4","모습",46
"5","젝스키스",37
"6","스크린",30
"7","젝키",30
"8","무대",25
"9","엑스",25
"10","영상",25
"11","준비",24
"12","실황",23
"13","생각",22
"14","노력",21
"15","멤버",20
"16","재미",18
"17","진짜",18
"18","현장감",18
"19","사랑",17
"20","앨범",17
"21","하게",17
"22","공연",16
"23","20",15
"24","스토리",15
"25","아이",15
"26","중간",15
"27","과정",14
"28","웃음",14
"29","진솔",14
"30","현장",14
"31","가수",13
"32","시간",13
"33","음악",13
"34","고민",12
"35","기분",12
"36","누군가",12
"37","다큐",12
"38","추천",12
"39","장면",11
"40","주년",11
"41","최고",11
"42","마음",10
"43","영상미",10
"44","하나",10
"45","하인",10
"46","관람",9
"47","예능",9
"48","오빠",9
"49","OOO",8
"50","우리",8
"51","이야기",8
"52","재밌게",8
"53","눈물",7
"54","사이",7
"55","서로",7
"56","평점",7
"57","포인트",7
"58","행복",7
"59","가득",6
"60","고척",6
"61","공연장",6
"62","들이",6
"63","무엇",6
"64","사람",6
"65","에이",6
"66","에피소드",6
"67","오랜만",6
"68","인터뷰",6
"69","진지",6
"70","특별",6
"71","해서",6
"72","활동",6
"73","^ㅋ",5
"74","5집",5
"75","감사",5
"76","내용",5
"77","대박",5
"78","보는내내",5
"79","부분",5
"80","사운드",5
"81","아티스트",5
"82","얼굴",5
"83","연출",5
"84","재결합",5
"85","진심",5
"86","진정",5
"87","친구",5
"88","^ㅎ",4
"89","구성",4
"90","기대",4
"91","담백",4
"92","소중",4
"93","실제",4
"94","아니여도",4
"95","열정",4
"96","영원",4
"97","옐키",4
"98","울컥",4
"99","자체",4
"100","젝스키스가",4
"101","젝키와",4
"102","좋았습니",4
"103","화려",4
"104","ㅠㅠ",4
"105","감상",3
"106","걱정",3
"107","과거",3
"108","관계",3
"109","다양",3
"110","다음",3
"111","뒷모습",3
"112","뒷이야기",3
"113","리더",3
"114","보시",3
"115","스크린X로",3
"116","애틋",3
"117","얘기",3
"118","유쾌",3
"119","음향",3
"120","이상",3
"121","자연",3
"122","재밌고",3
"123","재밌었고",3
"124","적절",3
"125","젝스키",3
"126","젝스키스를",3
"127","젝키가",3
"128","젝키는",3
"129","젝키를",3
"130","지금",3
"131","지루",3
"132","평소",3
"133","한번쯤",3
"134","한지",3
"135","현재진행형",3
"136","확인",3
"137","100",2
"138","5집이",2
"139","가서",2
"140","가슴",2
"141","개봉",2
"142","경험",2
"143","고뇌",2
"144","고마움",2
"145","공감",2
"146","관심",2
"147","궁금",2
"148","그룹",2
"149","기억",2
"150","꼭!!",2
