"","Var1","Freq"
"1","영화",1061
"2","최고",358
"3","명작",258
"4","감동",247
"5","인생",240
"6","이타",195
"7","진짜",176
"8","사랑",138
"9","시간",97
"10","10",96
"11","여운",96
"12","20",87
"13","필요",86
"14","장면",83
"15","눈물",81
"16","사람",81
"17","영화관",80
"18","재개봉",76
"19","관람객",69
"20","평점",69
"21","처음",66
"22","디카프리오",65
"23","마지막",65
"24","극장",58
"25","완벽",58
"26","생각",56
"27","기억",51
"28","오늘",46
"29","로즈",38
"30","다시봐도",36
"31","세월",36
"32","하게",35
"33","가슴",34
"34","표현",34
"35","감사",32
"36","들이",30
"37","작품",30
"38","마음",28
"39","이영화를",28
"40","하나",28
"41","침몰",27
"42","내인",26
"43","해서",26
"44","로맨스",25
"45","ㅠㅠ",25
"46","후회",24
"47","^ㅋ",23
"48","순간",23
"49","스토리",23
"50","이걸",23
"51","자막",23
"52","정도",23
"53","주인공",23
"54","평가",23
"55","로즈가",22
"56","엔딩",22
"57","연기",22
"58","감정",21
"59","개봉",21
"60","그때",20
"61","부족",20
"62","음악",20
"63","의리",20
"64","자체",20
"65","ost",19
"66","내용",19
"67","몰입",19
"68","사람들",19
"69","이상",19
"70","100",18
"71","보고",18
"72","선장",18
"73","연출",18
"74","평생",18
"75","내생",17
"76","배우",17
"77","정말",17
"78","^ㅎ",16
"79","감독",16
"80","결말",16
"81","이유",16
"82","나이",15
"83","대단",15
"84","대사",15
"85","시절",15
"86","지금",15
"87","행복",15
"88","생애",14
"89","소중",14
"90","제임스",14
"91","1998",13
"92","OST",13
"93","노래",13
"94","대작",13
"95","모습",13
"96","언제봐도",13
"97","이야기",13
"98","자신",13
"99","지루",13
"100","30",12
"101","98",12
"102","누구",12
"103","당시",12
"104","별점",12
"105","봐도봐도",12
"106","아련",12
"107","역대",12
"108","옛날",12
"109","오랜만",12
"110","울컥",12
"111","이거",12
"112","이해",12
"113","인간",12
"114","진정",12
"115","추천",12
"116","카메론",12
"117","크레딧",12
"118","한가",12
"119","ㅜㅜ",12
"120","관람",11
"121","남자",11
"122","새벽",11
"123","안보",11
"124","연주",11
"125","이번",11
"126","죽음",11
"127","중간",11
"128","추억",11
"129","^ㅋ^ㅋ^ㅋ^ㅋ^ㅋ",10
"130","go",10
"131","will",10
"132","당신",10
"133","동안",10
"134","레오나르도",10
"135","사실",10
"136","스크린",10
"137","언제",10
"138","얼굴",10
"139","여자",10
"140","이영화",10
"141","최고의영",10
"142","행운",10
"143","heart",9
"144","on",9
"145","걸작",9
"146","근데",9
"147","때문",9
"148","러닝",9
"149","몇번을봐도",9
"150","설명",9
