"","Var1","Freq"
"1","영화",319
"2","소방관",112
"3","감동",101
"4","실화",73
"5","진짜",67
"6","마지막",51
"7","눈물",43
"8","감사",39
"9","영웅",39
"10","영웅들",37
"11","진정",35
"12","여운",32
"13","가슴",29
"14","상영관",28
"15","생각",27
"16","존경",27
"17","관람객",25
"18","지루",25
"19","산불",24
"20","마음",23
"21","최고",23
"22","평점",23
"23","사람",22
"24","희생",21
"25","이야기",20
"26","우리",19
"27","가족",18
"28","경의",18
"29","재난",15
"30","용기",14
"31","하게",14
"32","관람",13
"33","드라마",13
"34","스크린",13
"35","인생",13
"36","하나",13
"37","독점",12
"38","마운틴",12
"39","진심",12
"40","추천",12
"41","핫샷",12
"42","몰입",11
"43","바탕",11
"44","시간",11
"45","이런게",11
"46","재미",11
"47","해서",11
"48","10",10
"49","들이",10
"50","명작",10
"51","배우",10
"52","잔잔",10
"53","처음",10
"54","훌륭",10
"55","ㅠㅠ",10
"56","극장",9
"57","기억",9
"58","목숨",9
"59","사람들",9
"60","사실",9
"61","세상",9
"62","숭고",9
"63","스토리",9
"64","영화관",9
"65","오랜만",9
"66","전개",9
"67","직업",9
"68","현실",9
"69","흥행",9
"70","간만",8
"71","결말",8
"72","미국",8
"73","상영",8
"74","시대",8
"75","억지",8
"76","연기",8
"77","장면",8
"78","전세계",8
"79","19",7
"80","감사합니",7
"81","그래닛",7
"82","내용",7
"83","다운",7
"84","명복",7
"85","묵직",7
"86","순간",7
"87","신파",7
"88","연출",7
"89","우리나라",7
"90","자체",7
"91","작품",7
"92","표현",7
"93","필요",7
"94","한국영화",7
"95","누군가",6
"96","모두",6
"97","방심",6
"98","실제",6
"99","액션",6
"100","위대",6
"101","이유",6
"102","자신",6
"103","주변",6
"104","충격",6
"105","한국",6
"106","핫샷팀",6
"107","히어로",6
"108","^ㅋ",5
"109","감정",5
"110","개봉",5
"111","과장",5
"112","근데",5
"113","대원",5
"114","때문",5
"115","먹먹해지는",5
"116","무엇",5
"117","보시",5
"118","사나이",5
"119","소방대원",5
"120","안전",5
"121","울컥",5
"122","자리",5
"123","정도",5
"124","죽음",5
"125","화재",5
"126","희생정신",5
"127","^ㄷ",4
"128","^ㅎ",4
"129","가치",4
"130","공감",4
"131","관객",4
"132","국민",4
"133","그래니티",4
"134","기대",4
"135","기회",4
"136","다시한번",4
"137","대단",4
"138","대한",4
"139","많은",4
"140","모습",4
"141","묘사",4
"142","민국",4
"143","불과",4
"144","사명감",4
"145","생명",4
"146","소방",4
"147","신파극",4
"148","아빠",4
"149","얘기",4
"150","어디",4
