"","reviews","points"
"1","이 영화를 안 본 사람이 너무 부럽다. 내가 처음 봤을 때의 그 감동을 느낄 수 있는 기회가 있으니..  ","10"
"2","몇번이나 봤지만 감명깊은 영화...우연히 보게 된 것은 초등학생 때 친척집에서였다.어릴 때 봤을 때는 잭과 도슨이 어떤 밀실로 들어가서수중기가 가득차고 마지막에 로즈가 손바닥을 탁! 내리는데 그 장면이 무슨 장면인지 이해못했던 순진한 나.  ","10"
"3","별 더 가지고 와~~~~~~~`  ","10"
"4","내사랑 디카프리오  ","10"
"5","내 생애 최고의 영화...처음볼때 영화관에서 안본게 너무 아쉬웠어요 세시간이 전혀 지루하지 않고 몇번을 들어도 ost는 감동이에요ㅜㅜ잭과 로즈를 보면서 잭은 영원한 내 이상형!!! 앝으로 어떤 영화를 보던간에 타이타닉을 이기진 못할거 같아요  ","10"
"6","내가 평가할만한 영화가 아니다  ","10"
"7","타이타닉 처음 보던때가 생각나네..새벽에 혼자 보는데 눈물이 주륵주륵 진짜 사람들이 왜 명작이라고하는지 알겠더라 진짜 안본사람들은 꼭봐야돼.. .타이타닉보고 일주일간 앓았음..여운진짜...전세계흥행 1위자리 꼭지키길바랬는데. 내가 아바타싫어하는이유  ","10"
"8","인생 중 세시간은 의무적으로 이 영화에 투자해야한다  ","10"
"9","당신들이 무념으로 이 영화 평점을 마구 깎아놓아도 이 평점은 단지 수십개의 나라 중 한 나라의 수천만개 사이트 중 한 사이트의 것일 뿐, 이 영화는 전세계인들이 기억하는 최고의 영화일 것입니다.  ","10"
"10","진짜 최고의 명작이다.  ","10"
"11","카메론의 최고작은 아바타가 아닌 타이타닉.  ","10"
"12","앞으로 어떤 영화도 따라 잡지 못할 절대불변의 최고 명작  ","10"
"13","진짜 100점을 줘도 아깝지않음..여태 왜 이걸 안보고있었을까..저렇게 잭과 로즈처럼 운명적인 사랑을 만날수있었으면..  ","10"
"14","초딩 땐 슬픈 건지도 몰랐는데.. 대학생 되고 보니 눈에 눈물이 고이더라..  ","10"
"15","타이타닉이란 영화를 볼수있다는 것이 정말 감사하다  ","10"
"16","가장 기억에 남는 건 배가 떨어질 때도 악사들이 계속 연주하던 것...  ","8"
"17","최고의 감독이 선사하는 최고의 각본과 연출 아름다운 여주인공 케이트 윈슬렛, 그녀보다 아름다운 미모를 가진 레오나르도 디카프리오의 연기력 정말 완벽한 다시는 없을 최고의 로맨스 영화.  ","10"
"18"," 영화역사상 최고의 명작  ","10"
"19","10점 만점의 10점.이게 왜 10점이 아니지?10점도 부족하다  ","10"
"20","잭과 로즈의 로맨스도 좋았지만 사람들이 뛰어들고 매달리는걸 보면서 진짜 마음 아팠어요 특히 아기랑 죽은 아빠 시신...ㅠㅠ 보고 울음..  ","10"
"21","세대를 뛰어넘는 세기의 명작  ","10"
"22","최고  ","10"
"23","기자 평론가 평점이 10인 영화가 또 있으리  ","10"
"24","다섯번 넘게봤는데도 볼때마다 날울리는 영화  ","10"
"25","일베망해라 이세키들아 평생살면서 한번 볼까말까한 최고의영화에감히..  ","10"
"26","잭과 로즈 그런사랑 최소한그런 열정을느끼고싶다  ","10"
"27","세월호떄매또보게되네 명작슬프다 세월호사람들구출됬으면좋겠다 진심으로  ","10"
"28","말이 필요 없다  ","10"
"29","원래 영화평점랭킹 1위였던거같은데.. 어느새 보니 없어서 10점 주고갑니다. 개념없는 포털사이트 선동때문에 제 인생중 가장 명작의 명예가 망가진 듯한 기분이네요..  ","10"
"30","명작  ","10"
"31","짧지만 강렬한 사랑 후, 잭없이 혼자 긴 여생을 보낸 로즈의 인생은 어땠을까? 생명과 영혼을 구해 준 잭을 사진하나 없이 추억에서만 간직한 그 마음 ....상상도 못하겠다  ","10"
"32","처음엔 여배우가 별로라서 약간 아쉬웠지만... 나이 먹고 다시 봤을때는 오히려 케이트 윈슬렛이라서 더더욱 감명깊게 다가온 영화!! 어린시절 로미오와 줄리엣과 더불어 후유중 앓게한 영화!!  ","10"
"33","의리도 참 쪽팔리는 의리  ","10"
"34","안본사람은 있어도 한번 본 사람은 없을듯  ","10"
"35","열개줘도모자랐던영화...최고다 별점남긴건이게처음 죽기전에꼭봐야할영화인거같다  ","10"
"36","아 정말 이영화는 평점 깍지마;...;;  ","10"
"37","그렇게 의리의리거리고 싶으면 그 영화만 빨던가 왜 이 정도의 영화에 평점테러를 하는지  정말 한심하다.  ","10"
"38","너무너무 잼있고 감동적이다 예술,명작이다. 최고의예술의전당명작임  ","10"
"39","이렇게 책임감 강한 선장과 선원들이 필요합니다  ","10"
"40","여자의리 없다고 1점 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 1점주는 이유 다 똑같네 ㅋㅋㅋ 짱 드세요  =ㅇ=  ","10"
"41","보고보고 또 보는 영화! 질리지가 않아..ㅜㅜ 레오에 리즈시절 연기력에 꽃외모까지 이영화를 다시볼때 마다 레오와 케이트를 다시 검색하게 되는 너무나 매력적인 영화! 정말 내가 가장 사랑하는 영화..!! 단언컨대 타이타닉은 가장 완벽한 명작입니다..  ","10"
"42","너무 아름답고 가슴이 먹먹하다  ","10"
"43","제인생 최고의 영화입니다.......  ","10"
"44","마지막에 로즈가 말하길 잭이 목숨도 구해주었고 삶도 구해주었다고 했을때 전에는 느끼지못한 참된사랑을 느꼈다.내가 살아가면서 저런 사랑을 한번이라도 해볼수있을까..그리고 그런사랑을 했다면 물에잠긴 다이아보다 더 값질것이라고 생각한다.  ","10"
"45","악사들이 혼란속에서도 끝까지 연주하는 장면, 의도치않게 탑승객을 죽이게 되어 이성을 잃고 자살해버린 승무원, 끝까지 아름다운 죽음을 택한 선장과 집사, 이야길 끝으로 깨우친 수색팀장...어느하나 흠잡을 곳이 없고 수많은 생각을 하게 만드는 대작입니다.  ","10"
"46","이거는 전문가뿐만 아니라 일반인들도 당연히 만점줘야하는예술성과 대중성이 매우훌륭한 영화임  ","10"
"47","로즈의 사랑이 불륜이아닌 이유1 엄마의 욕망으로 원하지 않던 약혼2 목숨걸고 잭을 구하러갔으며 탔던보트에서 내림3 잭이죽자 같이 눈을 감았으나 약속을지키기위해 수영후 호루라기4 다이아버렸음 , 첨부터끝까지 사랑만 선택한로즈를 누가나무라겠냐  ","10"
"48","요즘 나왔으면 가뿐히 1500만찍을만한 영화임  ","10"
"49","원래 평점 9.4이상이었으나 ㅠㅜ 의리도 좋지만 명작을 ... ㅠ  ","10"
"50","1998년 딱 스무살때 중앙극장에서 자리 꽉차서 서서봤는데, 여친이랑 교대로 중간에 화장실 한 번씩 갔다오고. 이런 대작을 극장에서 본 난 행운아  ","10"
"51","내인생 최고영화  ","10"
"52","마지막 타이타닉 호 안에 모두가 축복하는 장면은 내 영화 인생 모든걸 다 쳐도 최고의 장면이다 . 영화 5번 봤지만 볼때마다 전율이다 3~4년에 한번꼴로 시청중 오늘도 ocn에서 시청했는데 역시 명불허전 .  ","10"
"53","의리 없다고 까대는놈들이 뭐 이렇게 많은지 원,,그런데 그딴식으로 까대봤자 이 영화의 작품성은 끄떡도 안한다.  ","9"
"54","평생에 다시 없을 영화  ","10"
"55","이걸 처음본사람의 설렘이되고싶당  ","10"
"56","내생에 최고의 영화  ","10"
"57","ost까지 완벽했다 아마 이 영화야말로 진짜 전설이 아닐까 싶다 ㅋㅋ 타이타닉을 뛰어넘는 영화가 언제쯤 나올까  ","9"
"58","디카프리오 미친 존잘완전 팬되게 만든 영화  ","10"
"59","어떤 개념 없으신분들이 평점을 마구내리다기에 그얘기듣고빡처서23년살아오면서한번도안해본 로그인하면서까지 영화 평점 처음단다 건들걸건드삼  ","10"
"60","타이타닉 아직 안본 눈 삽니다.. 다시 처음 타이타닉을 볼때의 그  느낌이 너무 좋았어요!!  그리고 케이트..케이트 너무 예쁜  것 같아요.. 정말 우아하게 생김.. 레오는 말 할 것도 없고..  ","10"
"61","아직도 입에 오르내리는 최고의 명작  ","10"
"62","마지막에 여주가비맞으면서 이름말할때 울뻔영원한사랑이란건 이런거다...  ","10"
"63","진짜 왠만해선 안우는데..진짜 보는내내 소름 돋았고 울컥했다.. 진짜..  ","10"
"64","정신나간 완성도. 사람이 만든 영화가 아니다.  ","10"
"65","명작 중의 명작. 자신의 새장에만 갇혀 아무것도 할 줄 모르던 도도한 귀족 아가씨를 주체적이고 능동적인 여성으로 바꾸어 놓은 위대한 사랑. 볼 때마다 눈물나고 볼때마다 설렌다. 평점의 최고점이 10점인게 처음으로 아쉬운 영화.  ","10"
"66","감히 내가 이런 명작을 평가할 가치가 될까. 단연 내 인생 최고의 영화가 아닌가싶다. 이 영화덕에 영화감독의 꿈에 한 걸음 나아가게된듯싶다.  ","10"
"67","Top3안 영화. 타이타닉은 사랑만의 주제를 다루지 않고, 배가 침몰 할 때의 최후의 악사, 선장, 선원, 물차는 방에서 늙은 노부부의 키스, 아이에게 읽어주는 마지막동화 같은 인간의 아름다움과 탐욕이 타이타닉의 훌륭한 조미료가 된 것 같다.  ","10"
"68","아직도 여운이 가시지 않는다  ","10"
"69","일베놈들 진짜 개념없네.....  ","10"
"70","지금봐도 눈물이ㅠㅠ............울컥울컥  ","10"
"71","끝까지 키를 놓지않던 선장, 끝까지 배에남던 선원들, 그리고 음악가들. 비록 영화지만 세월호랑 너무 비교된다. 생각나서 다시봤는데 너무 아린다  ","10"
"72","열심히 살라고 말하던 잭의 마지막 눈빛을 결코 잊을 수 없을 것 같습니다.  ","10"
"73","말이필요없지  ","10"
"74","왜 평점이 이정도밖에안돼  ","10"
"75","ebs 지렸다 공중파 보고좀 반성해라  ","10"
