"","reviews","points"
"1","리얼과 염력도 다 피한 나인데 끝내 명탐정한테는 걸리는구나...  ","1"
"2","1편과 2편에서 보여주었던 사회적 메시지도, 미신을 논리와 과학으로 혁파하던 추리적 요소도 실종됐다. 짜깁기 유머와, 흡혈귀의 복수라는 진부한 판타지적 요소만 남았다. &#39;명탐정&#39;이라는 제목이 무색할 정도로 시리즈물로서의 정체성을 상실한채 홀로 표류한다  ","1"
"3","이전  시리즈는 &#34;한국판 셜록&#34;이었는데, 이건 돌아온 &#34; 전설의 고향&#34;.  ","1"
"4","한국 알바의 위대한 힘을 느끼고 갑니다  ","1"
"5","관람객장도리씬 뭔데진짜 배아퍼 죽을뻔했네 ㅋㅋ  ","8"
"6","별로다. 1,2편 통틀어서 가장 별로인듯. 좀비, 뱀파이어, 조선이 섞이면서 재미있다는 느낌 보다는 어이 없는 느낌이 강하게 든다.  ","1"
"7","기대를 안했음에도 기대이하였어요..  ","1"
"8","핵노잼.. 개연성없고 억지 유머 코드에 영화와 김지원 얼굴이 따로 노는느낌..영화가 산만합니다.  ","1"
"9","꼭 그렇게 말아먹었어야 속이 후련했! 냐!!!  ","1"
"10","심각한 수준. 이 좋은 아이템을 스스로가 망쳐버린 연출, 제작진들은 정신차려야 할 듯.  ","1"
"11","8명이 가서 6명을 잠재운 기적같은 영화.  ","1"
"12","평점보고 영화보러갔다가 나오는길에 남자친구가 미안하다고 사과하네요  ","1"
"13","조선명탐정 알바 웰케 많냐 ㅜㅜ 개콘도 아니구 이게 영화냐  ","1"
"14","보다가 내가 괴마가 되는 영화  ","1"
"15","참.... 조잡한 cg나 판타지로 빠져버린 스토리는 둘째치고 연출을 누가한건지 솔직히 연출만 괜찮았어도 볼만했을텐데 무슨 10년전 구닥다리 연출로 점철해놓으니 몰입은 커녕 기가차더군  ","2"
"16","댓글 알바아니라면 이건 말이 안되는 평점.양심이 없네  ","1"
"17","아직 2월밖에 안됬지만 난 확신할수있다 이영화가 올해 최악의 영화인걸  ","1"
"18","정말.돈이 아까워요...!!  ","1"
"19","와... 할말이 없다 별점이 답이다  ","1"
"20","흡혈귀가 추리극의 밸런스를 붕괴하는 느낌 사건을 해결해야 하는 김명민 오달수가 개그콤비로 등장하고 심지어 웃기지도 않음 평점 3점이 적당합니다 전작을 기대했다면 영화관에서 안 보는 걸 추천  ","1"
"21","이런걸 영화라고 제작비 남아도냐  ","1"
"22","정말 연기력이 아까운 ㅠㅠ  ","1"
"23","성범죄자 오달수의 명연기 ^^ 김명민, 김지원, 나머지는 무슨 죄?  ","1"
"24","개노잼 진심 잠왔는데 아까워서 봤어요김지원 김명민 러브라인 ㅋㅋ 나이차가 얼만데;;  ","3"
"25","최~~고 드립 나왔을때 나갔어야했다  ","1"
"26","댓글 알바 동원인가? 오늘 합정 롯데시네마에서 보고 온 사람이다. 1편을 너무 재밌게 봐서 2편이 별로였음에도 불구하고 3편 개봉 첫날 보러 갔는데 정말 개실망이다. 공감 1도 안된다. 이따위로 영화 찍고 감독은 잠이 오는가????  ","3"
"27","김지원때문에 보러갔는데 1편 2편처럼 현실성 있던게 아니라 보는데 어이가 없었다. 1편은 재밌었고 2편은 기대이하였고 3편은 완전 대실망이다. 김지원밖에 볼게없다.  ","3"
"28","다들 재미있다고 하는걸 보니 내가 이상한 기분.. 전편들에 비해서 웃기려고 너무 오버하는 기분이 들던데  ","4"
"29","0점 못주네..1점갑니다  ","1"
"30","나같은 피해자가 더나와선 안된다..보면서 배우들이 불쌍하다고 느끼면서 진짜 이건 리뷰를 써야겟다 생각들더라.. 보지마라.. 이 감독  작품  절대적으로 걸러서 볼거다..  ","1"
"31","픽션 사극이 허용할 선을 넘었고 현실에서는 절대로 불가능하고... 영화는 분멍 탐정물인데 추리는 저 구석으로 몰아놓고 판타지가 되어버린... 각시투구 꽃의 비밀과 사라진 놉의 딸은 재미있게 봤는데 이번꺼는 많이 실망 스럽네요..  ","2"
"32","상상 그이하를 볼수있음  ","2"
"33","영화는 재미있어야 한다. 이 원칙에 충실한 영화~~  ","10"
"34","관람객시리즈물 중엔 역시 최고네요!! 오달수와 김명민의 콤비는  쵝오!  김지원도 너무 좋았어요!!  ","10"
"35","관람객서커스 씬에서 엄청 웃음ㅋㅋㅋㅋ 명탐정 케미야 말할 것도 없고 김지원도 잘 어울리는 듯  ","10"
"36","우와 정말 영화 만든사람 보다.평점 높게준 관람객이 더 밉다. 보는 내내 잠이 오더만,  ","2"
"37","관람객조조로 봤는데 볼만함ㅋㅋㅋ 특히 진짜 빵터지는 장면이 두군데 정도 있는데 진심 너무 웃김ㅋㅋㅋ  ","10"
"38","자기가 본 영화 본전 뽑았다고 최면 걸고싶은건 이해하겠는데, 평점으로 남들까지 속이진 말자. 최소한의 양심은 챙겨야하지 않을까  ","3"
"39","이거절대보지마세요 진짜씹노잼  ","1"
"40","관람객조선명탐정 시리즈 다 봤는데 진짜 재밌음ㅋㅋㅋㅋ 또 보고싶음  ","10"
"41","리얼,염력은피했는데  이걸못피했네 7000원공중분해 꿀잼  ","2"
"42","큰 기대없이 봤었는데 생각보다 더 재밌었어요 재미와 감동이 둘다 있어서 설에 가족들과 함께 보기 좋을것 같습니다  ","9"
"43","평점알바 드글드글... 심하다  ","1"
"44","시사회로 먼저 봤는데 진짜 재미있어요ㅋㅋ연기력은 뭐 말할것도 없고 김지원이 그렇게 예뻐요.. 와 연기도 진짜 잘하세요 명절때 가족들과 또 볼 예정입니다. 염력으로 버린눈 조선명탐정으로 다시 주웠어요 역시 믿고 보는 조선명탐정  ","10"
"45","오달수씨 때문에 그나마 1점도 안주려다 주는겁니다!!!  ","2"
"46","노잼임;; ㄹㅇ 이거 재밌다는사람 문제있음  ","1"
"47","1편 크게웃고, 2편 실망하고, 3편 다시 명성회복함 조선명탐정 흥해라~~~~  ","10"
"48","알바들 난리났네 ㅎㅎㅎ  ","1"
"49","솔직히1.2편 좀 재밌게 봐서오늘 봤는데. . 만드시는분들 수고야말로 많이 하셨겠지만진짜 안타깝네요보는동안 헛웃음만 ㅋㅋ속은기분  ","4"
"50","전작들 재미있게 봐서 기대하고 봤는데, 진짜 별로.. 유머코드도 너무 구식이고, 전개도 뒤죽박죽.  ","2"
"51","응 난 영화보러 온게 아니라 팝콘 먹으러 온거야  ","1"
"52","웃기고 싶고 신파도 하고싶고 판타지도 하고싶고 .. 조악한 연출에 비지엠욕심에 보다보다 짜증나고 뻔하고 예측되는 장면들 지루함 돈과 시간이 아까웠어요.  ","2"
