"","reviews"
"1","BEST관람객나이를 먹어도 다 똑같구나..ㅎㅎ 하는 생각. 우리 아버지, 할아버지에게 더 잘해야겠다구 생각함!  "
"2","BEST관람객역시 부모님이 너무나 좋아하시는 영화입니다^^!!!!  "
"3","BEST관람객감동적인 영화였습니다. 부모님과 함께 보시면 좋을듯합니다  "
"4","BEST관람객친정엄마랑 언니랑 같이 보고 왔네요.한편의 드라마를 본 듯....친정엄마는 연신 눈물도 흘리시고 웃으시며 잘 봤는데 마지막에 &#34;늙은게 참 서럽다~&#34;는 말씀이 남는 영화입니다.부모님과 같이 보세요~^^  "
"5","BEST부모님이랑 보기 좋은 영화 비밥바룰라!  "
"6","너무 감동적인 영화였습니다. 가족들이 함께 관람하시길~~  "
"7","유쾌하지만 한편으로는 찐한 감동이 있네요  "
"8","관람객예상을 뛰어넘는 재미와 감동!  "
"9","황혼도 즐겁게 산다 비밥바룰라!  "
"10","소소한 웃음과 자식으로서의 공감을 느끼고갑니다~아버지의 영원한 청춘 또한 느꼈어요  "
"11","관람객우리 삶을 되돌아 볼 수 있는 영화가 아닐까 싶어여~~  "
"12","잔잔한가족드라마  눈물이 절로...  "
"13","공감이 많이 되는 영화!  "
"14","새해가 되어 한 살 더 먹으면서 나이듦에 대한 생각을 많이 한다. 이 영화 속 노인들은 가진게 많지도 않고, 특별할 것 없는 삶을 살지만, 소소한 행복을 즐기며 산다. 이렇게만 살아도 좋겠다. 위안이 된다..  "
"15","개봉 전 운 좋게 시사로 봤는데 보는 내내 웃음이 지어지는 따뜻한 영화였습니다. 날이 춥지만 주말에 부모님이랑 한번 더 보려구요! 좋은 영화 만들어주셔서 감사드려요 :)  "
"16","나도 누군가의 할아버지 아버지가 된다면 저렇게만 살고싶다  "
"17","요즘 시대의 아버지상을 반영하는 영화였습니다. 감동적이고 부모님과 함께 보기에 좋아요.  "
"18","웃다가 울고 웃다가 울었음  "
"19","기대되는 영화!! 아 우리 할아버지 생각나네ㅠㅠ  "
"20","대한민국 아버지 어머니들의 따듯하고 신선한 이야기  "
"21","관람객누군가의 인생과 일상을 그대로 뚝 잘라 필름에 복붙해 놓은 것 같은. 분명히 픽션임에도 실화같다는 느낌을 들게 하는 영화.  "
"22","스토리가 지루함이 없어서 조았음 ㅋㅋ  "
"23","관람객재밋엇어요!&#39;ㅜ!!!  "
"24","남녀노소 누구나 공감대를 이끌어낼수있는 영화였다  "
"25","오랜만에 극장에서 울어봤네유 ㅠㅠ  "
"26","억지웃음이없어서 좋아써영 ㅋㅋ  "
"27","지루할줄 알았지만 지루할 틈이 없었듬  "
"28","진짜 배우들의 연기는 최고다!!  "
"29","몸은 나이가 들어도 마음은 청춘이다  "
"30","나이들어서도 내 곁에 함께 있는 친구들이 있다는거 얼마나 행복할까...  "
"31","관람객좋은영화인데 묻히는것같아 아쉽네요  "
"32","관람객가족들과봐도 좋을것같야요  "
"33","관람객아버지는 위대하다 ㅎ 항상감사합니다  "
"34","관람객잘 봤습니다~ 꽤 잼나네요~~  "
"35","별 기대 안하고 봣는데 잼씀 ㅋㅋ  "
"36","재미잇어요  젊은이 들같이  재미있게 즐기시네요  "
"37","기대안하고 봤는데시작부터 재미있어서 성별, 나이불문 누구나 기분좋게 볼 수 있다고 생각해요. 오랫만에 가슴찡하는 영화였어요. 영화끝나고 친구와 폭풍눈물흘리는 얼굴을 서로 마주봤네욯ㅎ개인적으로 이런영화 많이 나왔으면 좋겠어요.  "
"38","관람객재밌었어영 상영관에 사람 벌루없던데ㅜㅜ 아쉽네용  "
"39","역시 믿고보는 배우들이네요 호흡도 척척  "
"40","댓글보고 영화 봤는데 이거 전부 알바같네요....너무 뻔하고 진부한 스토리....  "
"41","누구나 거쳐갈 황혼의 시기, 지루할 것만 같았던 그 나이대의 편견을 깨주었습니다.  20대의 제 삶보다 더 행복하고 재미있어보였습니다. 나이들어서도 그분들처럼 행복하게 살고 싶습니다!  "
"42","할아버지 생각이 많이나네요너무 잘 봤어요!  "
"43","마지막은 좀 충격이었어요ㅜㅜ 구정에 부모님한테 잘해드리려고요  "
"44","신구배우님 오래오래 건강하세요**  "
"45","배우들간의 케미가 살아있었음 ㅋㅋ  "
"46","기대하지 않고 보고왔는데 잔잔하니 인생에 대해 생각할수 있는 영화였어요  "
"47","너무 감동적이네요, 꼭 보시길 추천드립니다!  "
"48","관람객부모님 보여드리기 좋은 영화  "
"49","관람객과하지않아.ㄷㅓ 마음에듬 우리 아버지들 모습 보는것같아 짠햇음 ㅜㅜ  "
"50","관람객나이가 들어도 옆에 친구가 있다는건 참으로 감사한일인것같아요  "
"51","관람객좋은영화였습니다. ㅇㅕㄱ시 멋있는 배우님들^^  "
"52","관람객나에게도 저런 날이 오겠지,  "
"53","관람객매번젊은층들이 주연인 영화만 보다가 요런거 보니 공감도되고 짠하네요  "
"54","관람객유머와 감동이 있는 영화재밌게 봤어요  "
"55","슬퍼지는 마음이네요...  "
"56","부모님모시고 꼭 가세요 !!!  "
"57","잘봤습니다! 웃다울다그랬네요  "
"58","기대안하고 봤는데 생각보다 너무 감동적이고 재밌었어요! 부모님 모시고 볼걸 그랬어요 ㅋㅋ  "
"59","개봉관이 별로 없다는게 아쉽네요 ㅠㅠ 많은 사람들이 봤으면 좋겠는데.. 안타깝네여 영화강추합니다  "
"60","런닝타임도 그리 길지않아서 부모님 모시고 보기 딱 좋은 영화입니다  "
"61","잘봤습니다. 많이들 보고 웃고 울었으면 좋겠네요.  "
"62","이런류의영화좋아하는데이영화는모르겠다 평점9점대는 알바들의힘인듯 유쾌함도부족하고감동도부족하고그냥노년의사는이야기라고하기에도현실성이없다  "
"63","팝콘값이 아까웠습니다...진심으로  "
"64","올해 최악의 영화.. 할아버지들 연기때문에 1점 더 드립니다  "
"65","관람객감동적이기는하지만  스토리 전개가 조금은 부족한것같네요  "
"66","요즘 살인, 사기, 불륜 등이 난무하는 시대라 이런 영화가 허접하게 느껴 질 수 있을지 모르겠지만 마음이 따뜻해 지는 영화입니다. 가족들이 함께 가서 보면서 삶과 가족에 대해서 돌아보며 마음을 따뜻하게 녹이는 시간이 될 수 있으리라 봅니다.  "
"67","관람객배우들분 매력 터지네요 ㅋㅋ 재밋어요  "
"68","정말 많은 것을 느끼게 되었습니다. 배우들의 연기도 스토리전개도 훌륭해서 많이 울다 웃고 나왔습니다.  "
"69","관람객초반 전개가 너무 올드하고 연기도 올드했어요 중반 이후엔 좋았습니다  "
"70","순수한 노인들의 모습에 가슴이 뭉클했습니다.  "
"71","관람객남녀노소의 희노애락! 인생을 알수있는영화!  "
"72","관람객항상 젊음일것 같은 우리! 그러나 누군가 살아온 인생이 우리가 언젠가 살아갈 모습 같아서 맘속 형용하기 힘든 여운이 남은 영화!!  "
"73","관람객나도 언젠간 엄마가 될텐데.. 많은 생각을 하게 하는 영화. “엄마~ 앞으로 더 잘할게”  "
"74","관람객울 친구들끼리도 영화의 친구들처럼 살자 하는데 맘에 닿네요^^  "
"75","관람객보길잘했다는생각이! 10점이 아깝지않아요!  "
"76","관람객괜히 아버지생각나네요 ^^ 나이드실수록 더 하고싶은거 하게 해드리고싶어요  "
"77","관람객70대할배들은 웃픈 이야기  "
"78","열심히 살아야겠다는 생각은 왜드는지 모르겠지만좋은 영화다  "
"79","임현식 선생님 너무 귀여워요~~  "
"80","나이 관록 여유 행복 초연 덤덤 죽음 아  괜히 나이는 헛먹는게 아님.  "
"81","감동적인데 재미까지 잡네요. 오랜만에 좋은 영화입니다.  "
"82","나이 들어서 외롭지 않도록 노력해야겠다는 깨달음을 주었네요  "
"83","인생이란... 어떤의미로 다가오는걸까  "
"84","노년 또한 젊음과 같이 찬란하네요  "
"85","나의 노년을 생각해보게 하는영화 공감 백배입니다  "
"86","영화끝날때 나오는 양희은님 목소리도 감동입니다,,  "
"87","정말 비밥바룰라네요.  "
