"","reviews","points"
"1","자네가 어린이들의 대통령인가?  ","10"
"2","조카 데리고 갔다가 내가 더 빠져서 봄ㅋㅋㅋㅋ 뽀통령 장기집권 가능할듯..ㅋㅋㅋㅋ  ","10"
"3","애들보다 내가 더 재밌게 봤네....  ","10"
"4","어린이들 방학이라 그래요  ","10"
"5","일단 10점 박고 시작하자  ","10"
"6","뽀로로는 언제나 정답 이다^^  ","10"
"7","3선에 성공하신 뽀통령님. 4선도 무난 하실듯.  ","10"
"8","역시 뽀통령... 뽀통령의 위엄은 여전히 대단하군요!!!  ","10"
"9","진짜 정말 재밌어요 !!!  ","10"
"10","미친...조용하던 우리딸래미 난리났다...  ","10"
"11","관람객31개월 아들의 첫영화관람이 되었네요어린아이에겐 결코 짧은 시간이 아니었는데 끝까지 집중해서 재미있게 관람하고 나왔습니다지루할즈음 뽀로로 노래가 나오며 율동하는 부분은 아이들이 단체로 따라하며 너무 즐거워하네요한번 더 관람해도 좋을 것 같습니다.  ","9"
"12","바라밤 중독성. 장난 아니었습니다.  애들이 좋아할만하네요~  ","10"
"13","10점 받고 10점 더..  ","10"
"14","어른이 봐도 잼있네요 ㅋㅋㅋ  ","10"
"15","관람객넘잼있어요.^^뽀로로 공룡섬 대모험 강추 합니다.  ","10"
"16","얼마나 기다렸던가ㅠㅠ 뽀로로가 돌아왔다!!  ","10"
"17","관람객아이가너무잼있다고또보러가자며..ㅋ  ","10"
"18","관람객지금까지 시리즈 중 제일 재미있습니다..  ","10"
"19","시사회로 관람하고 왔습니다.정말 넘 재미있었어요 아이가 너무 좋아하더라구요.스크린 엑스로 관람하였습니다^^  ","10"
"20","재밌었어요! 역시 뽀로로는 뽀로로~! 전편들보다 신경쓴 부분들이 보입니다.  ","10"
"21","한물간줄 알았는데 뽀통령 여전하네  ","10"
"22","아이 보여주러 갔다가 부모인 제가 더 재밌게보고 왔습니다 ㅋ 뒷자석에 앉은 엄마는 빵터져서 웃으시더라구요;ㅋ뽀통령 힘 대단하소이  ","10"
"23","애들이랑 보다가 저도 모르게 집중해서 봤어요. 어른들이 봐도 재밌습니다!!  ","10"
"24","관람객너무 재밌게 봤어요아이가 너무 좋아하니 저도 좋네요조금 컸다고 요즘 뽀로로 안좋아하더니영화 내용이 알차고 재밌게 구성되어 집중하며 보더라구요!  ","10"
"25","역시 뽀통령! 이번엔 공룡이 나와서 더 재밌었음ㅋㅋ  ","10"
