"","reviews"
"57","관람객4살딸램과. 딸램친구네랑함께봤네요~~전괜찮았지만 애들이 보기엔. 몬스터들이살짝무서웟을것같아요ㅎ  "
"58","관람객사람 아기가 너무 귀여웠고 재미있었어요  "
"59","관람객감동적여서 눈물났어요 ㅗ  "
"60","오동동 너무 귀여움 ㅋㅋ  "
"61","관람객그럭저럭 아이들과함께.  "
"62","난 애기때문에 봄 넘귀요미  "
"63","이거 재상영 한건가?아무튼 꿀잼임  "
"64","관람객재밌었어요 아이도 재밌어서 눈도안띠고 잘보더라구요  "
"65","관람객나름 감동 잇고 재밋네요  "
"66","관람객33개월 아이도 눈도 안떼고 집중해서 보네요아이가 중간중간 눈물을 흘리네요아이의 감성도 흔드는 그런 영화인가봐요  "
"67","관람객감동적이었어요~다시 보는  거였지만   역시 좋네요^^  "
"68","후반부로 가면서 더 재밌어지네요 볼만합니다  "
"69","관람객초등 1학년인데 정말 재미있었다며 좋아하네요  "
"70","그닥..큰게 평가를 못하겠습니다.  "
"71","감성을 울리는 작품이네요 아이도 어른도 감동인거 같아요  "
"72","관람객아이들과같이 볼수있는 어른영화  "
"73","관람객초등2,6살아이가 보기 마지막엔 조금 어려웠다그러네요^^잘봤습니당~  "
"74","관람객애들도 그렇고 어른들 감성까지 자극하는 재밌는영화  "
"75","관람객아들이랑 넘잼있게 봤어요  "
"76","재미있었어요.참신하구..감동도섞인..  "
"77","옛날에 엄청 재밌게본영화인데 재개봉했네요!!ㅎㅎ  "
"78","관람객가족과 함께 즐길수 있는 재미난 영화였어요~  "
"79","관람객예전과 똑같은 내용이지만 그래도 재미있게 봤어요  "
"80","관람객내용도 화면도 아름다웠어요  "
"81","관람객보는 내내 재미와 감동이 있었어요  "
"82","참 애니메이션은 잘만들어요  "
"83","관람객웃음과 무서움과 감동을 한꺼번에 주는 영화네요  "
"84","관람객일본 풍의 애니메이션 디테일이 잘살아 있음.초반 감정형성이 조금 긴박한감이 있음  "
"85","관람객재미와 감동이 있습니당  "
"86","아동용으로 괜찮을려나?  "
"87","너무 감동적이고 여운이 남네요  "
"88","관람객아이가좋아해요 편하게 사용했어요  "
"89","관람객아이랑가서 기대도 안하고 봤는데 몰입도도 좋고 울뻔했음..  "
"90","관람객재밌게봤어요애들도  재밌게  보더라구요  "
"91","다시 또 보고 싶은 영화입니다!!재미와 감동과 여운이 남는 영화입니다..꼭 보세요~!!  "
"92","관람객재미도 있고 감동도 있어요 막바지에 몬스터가 좀 무섭긴 했지만 아이와 함께보기 너무 좋은 따뜻한 영화였네요  "
"93","관람객아들이랑재미있게 봤어요~~  "
"94","관람객재미있고 감동도 있습니딛  "
"95","관람객괜찮았어요.재밌고 감동. 조언을 드리자면 5살 우리 아들한테는(코코, 공룡이살아있다는 잘봄) 너무 무서워서 클라이막스에 나왔다 들어갔어요. 절반 이상을 무릎에 앉혀 봤는데도요. 더 나이 먹은 어린이들에게 적합할거같아요.  "
"96","관람객영화는그럭저럭 재미있었어요 7세미만은 무섭다고  울거나 내용을 이해못할지도 모르겠네요 여기저기서 무섭다고 우는소리가 많이들렸어요  "
"97","관람객아이들이 눈물 흘리며 감동적이었다고 하네요...  "
"98","재밌어요. 6살아이는 무섭다네요. 화살맞는장면에서는 슬퍼서 울더라구요.ㅎㅎ  "
"99","관람객기대보다 재밌었어요 아이는 무척 재미있어했구요  "
"100","관람객재밌었어요나름 교훈도있고ㅎ  "
"101","관람객어른이 보기에는 동작이 좀 어설픈 느낌이었는데..아이들은 재밌게봤어요.초3딸은 감동받아서 울었네요 ㅋㅋ  "
"102","관람객아이가 재미있다 하네요ㅎ어른도 같이 즐겁게 볼수있는 영화입니다  "
"103","관람객아이하고 같이봤는데 재미있게 봤습니다역시 일본애니는 굳  "
"104","아이들이 지루해하지 않고 보기에 괜찮습니다  "
"105","관람객좋아요.재밋어요.최고  "
"106","관람객우리딸은 무섭다고함 어른이보기엔 그냥저냥  "
"107","관람객5살 아이가 보기에는 조금 무서워하지만 재밌다네요^^  "
"108","관람객아내와 아이와 즐겁게 봤네요 눈물도 살짝?ㅎㅎ 추천합니다  "
"109","관람객재미난 영화입니다. 주말 가족콰함께  "
"110","관람객재미있게 잘봤어요^^  "
"111","관람객볼만하네요 일본 영화라 볼까말까 했는데 웃기고 감동적이고 재밌네요 7살 4살 같이봤는데 재밌는지 집중 잘하네요  "
"112","관람객캐릭터도 디자인도 섬세하고 모션도 디테일하네요디지니하고 또 다른 매력이 있어요 ㅋㅋ2탄 기다려집니다~  "
"113","관람객재밌게 잘봤어요~시간가는줄몰랐어요  "
"114","관람객아이가 좋았다니만족해요  "
"115","아이들 영화인 줄 알았다가 눈물코물 다 빼고 나옴..ㅠㅠㅠㅠ  "
"116","진짜 너무 감성적이고 ㅜㅜ 이뒷편 너무 궁금한데!!!!꼭 뒷이야기로 2나왔으면 좋겠다  "
