"","reviews","points"
"1","소년을 날게 하기 위해 아버지는 땅 밑으로...  ","8"
"2","빌리가 아버지 앞에서 말보다 춤을 춰보이고 그걸 본, 발레라곤 전혀 모르는 아버지가 아들의 재능이 얼마나 대단한지 이해하고, 자신의 신념을 꺾고 동료들에게 욕먹으면서 그 캄캄한 탄광으로 다시 돌아가는 장면은 언제 봐도 뭉클하고 가슴 아프고..그렇다.  ","10"
"3","이제서야 이걸 보다니 어두웠던 영국의 노동자의 아픔과 한소년의 꿈 그리고 희망을 절묘하게 버무린 명작...아껴둔 보람이있어...  ","10"
"4","최고다. 비슷한 플롯의 영화들은 널리고 널렸지만 빌리 엘리어트를 뛰어넘는 명작은 아직 없다고 생각한다. 사회와 개인 모두를 놓치지 않고 영국적인 매력으로 만들어낸 수작!  ","10"
"5","최고의 명장면은, 빌리를 로얄발레학교로 보낸 뒤 아버지와 형이 무거운 어깨와 표정으로  함께 엘리베이터를 타고 땅 밑으로 들어가는 장면이라고 생각합니다.  ","10"
"6","자식을 위해 자신의 모든 걸 버리고 돌아가는 아버지의 모습에 엉엉 울어버렸다. 여운이 많이 남는다... 정말 영화에 흠뻑 빠지고 가는 느낌  ","10"
"7","제이미 벨 어린 나이의 그 연기가 놀랍다. 마지막 다 큰 빌리가 백조의 호수와 함께 비상하던 장면에서 돋던 소름은 잊을 수가 없음.  ","9"
"8","감히 최고라고 말할 수 있는 영화입니다. 두번 세번 보면서 느끼는 연기와 구성의 꼼꼼함... 정말 좋은 영화임.  ","10"
"9","심장이 뻐근해지는 라스트씬  ","10"
"10","좋은영화ㅎㅅㅎ  ","10"
"11","쥐어짜지않아도 눈물이 주루룩~ 오버스럽지않고 있는 그대로의 모던하고 깊이있는 영화!!! 멋지네요^-^  ","10"
"12","또봤는데 또좋다 그 마지막 순간을 위해 숨죽이며 기다리는 시간이, 아빠의 뜨거운 눈시울이...  ","10"
"13","마지막 장면은 정말 엄청나다는 말밖에..  ","10"
"14","대놓고 감정팔이 하는게 아니라서 좋았다. 소년의 꿈도, 아버지의 희생도 모두 진심으로 안타깝고 감동적이었다.  ","10"
"15","진정한 명작영화라는건 시대에 흐름조차 거스르는 영화를 말하는것이다!  ","10"
"16","재능도 중요하고 열정도 중요하지만 그 꿈을 실현 시키기 위해선희생이 필요하다 혼자만에 것이 아닌 모두의 것  ","10"
"17","성공이란 누군가의 시체를 밟고 올라서야 거머쥐는 것이다....항상 겸손해질것, 그들의 희생을 잊지말것, 반드시 보답할것.  ","10"
"18","명작이다 억지감동 아니고 보는 내내 몰입하게 만드는..  ","10"
"19","저 꼬마가 어떻게 저런 감수성을 가질수있지  ","10"
"20","배경음악과의 조화가 너무 아름다웠고, 감동적이네요.  ","10"
"21","관람객어릴 때엔 한 가지 이야기만 보였지만, 이번에는 일곱가지 이야기를 보았습니다. 처음부터 끝까지 굉장히 슬프고도 아름답습니다.  ","10"
"22","이영화 최대의 반전은 빌리가 게이가 아니라 빌리의 친구가 게이라는 점이다.  ","10"
"23","왜명작이라고하는지 알겠다. 제이미벨의연기가돋보이는 영화.  ","10"
"24","이런영화가 9점대 영화지...  ","10"
"25","발레만 생각하기엔 너무 많을걸 담고있다.  ","10"
"26","꿈을 이룬 아이의 모습보단 아이의 꿈을 위해 모든걸 버린 아버지의 부성애에 뜨거운 눈물이 흘렀다.  ","10"
"27","아스팔트 틈에서 피어난 민들레 같은 빌리. 그리고 절절한 부정. 어찌 눈물을 흘리지 않을 수 있을까?  ","9"
"28","마지막장면 감동있고 소름끼쳤어요..  ","9"
"29","와...진짜 대박이다  ","10"
"30","이 영화의 진짜 주인공은 아버지다  ","10"
"31","이 영화를 이제라도 봐서 다행이에요!  ","10"
"32","관람객가족의 희생이 있었기에 한마리백조가 우리의 눈앞에 탄생하지 않았나 싶다.  ","10"
"33","마지막 전율은 따라 올 영화가 없을듯  ","10"
"34","캐릭터 모두 강한  등장 인물들.마지막 가족이 서로 하나 되는데. 좋더라고요. 첨엔 삭막했지만..연기들도 좋고  ","10"
"35","침대위에서 춤추며 뛰던 빌리가 마침내 무대에서 높이 날아오를때 다가오는 희열은 미소를 짓게 하더라.  ","9"
"36","관람객빌리는 자신을 사랑할줄 알았다. 그리고 자신의 꿈을 향해 용기를 낼 줄 알았다 11살의 어린나이였지만 어리지 않았다. 용기가 있었고..친구의 진심을 알고 무엇보다 가족들이 그를 사랑한다는 것을 알았다  ","10"
"37","천재 일수도 있잖니...!  ","10"
"38","관람객빌리 아버지(재키엘리어트)는 석탄대신 빌리라는 다이아몬드를 캐셨다.말로 아무리 좋다고 이야기한들 말로는 한없이 부족하다  ","10"
"39","값진110분!!  ","10"
"40","어두운 현실 속에서도 꿈을 찾아가는 소년과 아버지의 희생이 눈물겹도록 아름다웠던 영화.  ","10"
"41","모든 카타르시스를 압축시켰다 마지막의 비상으로 표출한다.  ","10"
"42","난 마지막 장면이 너무 좋았다  ","9"
"43","가족의 희생과 사랑이 느껴지는 감동 영화! 엔딩장면이 오래도록 기억에 남을듯!  ","10"
"44","아버지는 죽은 아내의 피아노를 땔감으로 쓰고, 배신자의 버스를 타며, 지하로 내려가 지상으로 석탄을 퍼올린다.엘리엇은 석탄 위에서 춤추고, 하늘을 난다.  ","10"
"45","최고다 화려하지도 않고 자극적이지도 않지만 뭔가 가슴에 깊게 남는 영화  ","10"
"46","많은 교훈을 주는 영화다  ","10"
"47","9점대 영화, 인정.  ","10"
"48","ㅠㅠ 마지막에 점프..ㅠㅠ 대바이앙아ㅏ악  ","10"
