"","reviews"
"1","BEST관람객가볍게 보기 좋은 영화!!! 옆에 사람 오징어로 만드는 힘,,,  "
"2","BEST정설커플에 집중한 내용 마음에 들고 마지막부분에 만족  "
"3","씽크로율이 왜 중요한지 알게됐음. 주연들의 씽크로율만으로도 눈이 즐거운 영화입니다  "
"4","좀 더 길었으면 어땟을까 하는 아쉬움이 남는다  "
"5","그 방대한양을 2시간으로 만들어내기 어렵겠지라고 생각하고 봐서인지 딱좋았다 설렘 재미 다크 거기에 배우들이 눈을 아주 즐겁게해주었다 특히 유정선배는 그냥진짜 유정선배이시다  "
"6","드라마에서 먹은 고구마 내려갔네요^^  "
"7","순끼 이제 두발 쭉 뻗고 잘수 있을 듯 ㅎㅎ영화 성공적!  "
"8","원작 느낌이 잘 살아서 좋았어요웹툰화면 그대로 찍은줄 ㅎㅎ빨간벽돌 ㅎㄷㄷ  "
"9","누가 평점테러하는 듯 조조 보고 왔는데 생각보다 괜찮고 재밌음 볼만함 굿  "
"10","4부짜리 웹툰을 2시간으로 줄여놔서 걱정했는데 챕터별로 포인트를 잡아주니 웹툰 안본 사람들도 보기편했을듯~웹툰처럼 유정과 홍설의 관계가 돈독해지는 과정을 더 보여줬음 좋았을텐데 넘 짧아서 아쉬움~화이트데이에 설렘폭발시켜주는 유정선배 다시 봐서 좋았음  "
"11","원작에 충실했습니다. 재밌게 봤습니다.  "
"12","딱! 원하던 비주얼 캐스팅100프로 전체적으로 속이 시원했다!  "
"13","10점은 진짜 노양심이다 보고 다는거 맞나? 개연성도 없고 스킵된것도 많고 배우들 때문에 봤습니다  "
"14","유쾌하게 잘 다듬은 시놉과 백프로 맞는 싱크로율은 만족스러웠지만.. 연출인건지 캐릭터의 해석인건지.. 중간중간 연극톤;;; 어색한 연기들이 다소 아쉽ㅠ 하지만 오연서는 정말 홍설같았구 박해진의 유정도 늘 옳아요~ 애들아 안녕!! 에서 이미 빵ㅋㅋㅋ  "
"15","캐스팅은 원작 느낌 그대로구요! 원작팬이라면 후회없을만한 영화입니다  "
"16","어제  라이브톡으로  보고  왔는데  웹툰을   두시간으로  줄여  못  담은  내용이  많지만  두시간  재밍게  보다왔습니다^^    후회하지않으실거예요  ㅎㅎ  "
"17","댓글알바..후 얼마를쓴거야  "
"18","시간가는줄 모르게 지루하지않고, 요점 잘 정리.눈도 같이 호강, 드라마와 다를 느낌, 배우들이 웹툰과 맞아떨어지는 비주얼, 재미있었습니다. 오글오글않은 로맨스스릴러!!  "
"19","유정 홍설에 집중해서 스토리라인이 흘러가니까 좀더 명쾌하고 집중이 잘 됐다. 연기도 좋고 화면도 예쁘고 재밌었던 영화.  "
"20","개인적으로 싱크로율도 좋았고, 원작을 완벽하게 재현하진 못했지만 보는 내내 미소짓게 하는 봄같은 영화  "
"21","영화 넘 재미있게 잘봤어요ㅎㅎ배우님들 씽크로율 대박입니다 ~^^  "
"22","웹툰과 비슷합니다~긴 웹툰을 짧게 담아 스토리상 조금은아쉽긴해요~하지만 배우님들 연기력 장난아니시고 중간중간 빵터지는 웃음포인트가 있어서 재미있어요!전 소리내서 웃었네요~;;ㅎㅎ(부끄) 스릴러적인 부분도 장난아닙니다~(섬뜩)  "
"23","거짓말하나도 없고 평론가 평 그대로임 돈아까움 클레멘타인 급  "
"24","조조로  보고   평점  남겨요   배우들  열연이  돋보였고  로맨스  스릴러   장르를   잘  섞어서  만든거  같고     드라마보다 유정에  대해서  더 잘  표현한거  같아요대학생  조카랑  주말에  한번   더  보러 갈려고요  "
"25","화이트데이에 딱인 영화, 보는것만으로도 팬이 되어버리는 배우.달달한 로맨스와 코미디가 잘 어우러진 영화~  "
"26","기대 하나도 안하고 가서 그런가 ;; 난  생각보다 재밌었다  "
"27","난 볼만했음 내용 좀 못담은건 한정된시간안에 다담을수없는거니 이해하고 드라마보단 오글거리고 달달한 맛이 덜한듯  "
"28","영화치인트  속 설이는 유정에게 &#34;봄&#34;이었다 유정이 더 이상 외롭지 않아서 좋았고드라마가 애초에 캐스팅부터  내용전개  모두 이렇게만 갔던들 영화까지 만들어졌을까 안타까움만 더 했슴ㅠㅠ  "
"29","장편웹툰을 어떻게 2시간영화로 다표현할까 궁금했는데 쳅터로 나눠주니 오히려 괜찮은듯.웹툰과 같은장면 같은대사나올때마다 새록새록생각도나고 나름 괜찮았음.홍설과유정선배의 로맨스가 조금더 있었더라면하는 아쉬움은 남음.  "
"30","원작에 충실함으로도 충분  "
