"","reviews","points"
"1","이게 어떻게 10점이지....? 영화본거 맞나...? 개연성 없고 스토리 조잡하고.. 억지감동에 그냥 장면들이 다 따로노는 느낌... 진짜 재미없다 최악이다 최악..  ","1"
"2","염력은 피햇는데 여긴 못피햇네  ","4"
"3","사실 전 평점 알바입니다. 근데 이 영화는 양심상 도저히 조작을 못하겠네요. 죄송합니다 진짜 재미없어요. 친척들 세뱃돈이나 주세요  ","1"
"4","댓글 알바 정말 많네요.. 영화 평점 처음 써보는데 영화 끝나고 같이 영화보던 사람들이 전부 폭소를 하더라고요. 충격적입니다.  ","1"
"5","진심 알바 아닙니다.방금 영화보고 와서 봉사한다는 마음가짐으로 평점 남깁니다.보지마세요.내용이 너무 허술하고, 억지감동코드에, 어색한 연기, 괴상한 케릭터..여런분들을 위해 남기는 진심입니다.  ","1"
"6","인터넷으로 보기에도 돈 아깝다...;;;말도 안되는 설정에 마지막은 우정팔이...ㅠㅠ알바냐? 이걸 10점 주게?  ","1"
"7","이거보고 진짜 댓글 알바가 있다는 걸 몸소 깨닫게 됨  ","1"
"8","강동원 존잘 진짜 개잘생겼네  ","10"
"9","디진다진짜 너무한거아니냐  ","1"
"10","자동차극장에서 본 후기 처음에 이야기가 왜 이렇게 흘러가나싶었다 처음이나 후반이나  똑같다 뒤쥐박죽 앞뒤가 안맞고 스토리도 너무 뻔하다 심각하게 뻔하다  ","1"
"11","음식갖고 장난치면안되는데 ㅈㄴ상한비빔밥을 영화로보면 이런기분일거같음 장르를 다섞어놔서 뭐가뭔지도 모르겟고 로맨스나오다가 폭탄터지고 진지한대사 지나가면 시트콤나옴ㅋㅋ증말로 개연성도없고 간접광고도 너무티나고 카메라앵글은또무슨 드라마임?  ","1"
"12","정말 좋은 영화예요. 덕분에 꿀잠 잤어요 ㅎㅎㅎ  ","10"
"13","지친 ‘그대에게’ ‘황금빛 낮잠’을 선사하며 ‘힘을 내’라고 위로하는 영화  ","10"
"14","진짜 OOO기  내 영화인생 최악  댓글 처음달아봅니다 한효주 강동원 대리고 이따위 영화를 만들다니 하.. 리얼이랑 염력을 피했는데 생각지도 못한 골든슬럼버에 당했네 하..강동원 한효주 팬이시면 팬심으로 보세요 말했어요 저는 팬심이 있어야 볼수있습니다  ","1"
"15","염력은 피했는데 골든 슬럼버는 못 피했다..  ","1"
"16","시간을 버리고 싶다면 이 영화를 봐라  ","1"
"17","와..진짜 댓글 알바들 ㄹㅇ개역겹다 안좋은 댓글 쓰자마자 싫어요 두개 받네ㅋ내 밑에 댓글들도 다 싫어요 두 개씩일 거에요 여러분~이 댓글도 싫어요 두 개 바로 찍히겠지~댓글알바 본인들이 인증하는 꼴..객관적으로 기대안했음에도 역대급개재미없는 삼류영화  ","1"
"18","동원아 영화 좀 잘 고르자  누나 속상하다  ","1"
"19","그놈의 신파가 반입니다  ","2"
"20","어떻게 다들 수영은 좀 하나?  ","10"
"21","알바 그만하세요ㅋㅋㅋ 솔직히 연기 어색하고, 별로 안 긴박하고, 전형적인 한국형 캐쉬백 영화  ","1"
"22","이번에도 역시 강동원 외모가 열일하네 ㅋㅋㅋ  ","10"
"23","이 영화는 한마디로 물음표이다;; 공감하시는 분들 많을듯;;  ","5"
"24","아....차라리 이 배우 5명으로 밴드이야기가 더 재미났겠다  ","1"
"25","대체 왜이리 평점이 높죠...? 내가 한국 감성을 싫어하긴 하는데 이건 그걸 떠나서...아니 신파감성을 넣고 싶으면 처음부터 끝까지 그런 영화를 만들던가 중간중간에 흐름깨지게 자꾸 억지 감동코드 넣고 뭐하는짓이야? 진짜 별점 왜이리높은지 도저히이해안됨  ","1"
"26","강동원 실제로 보면 그렇게 잘생겼다는데.. 나도 보고싶다..  ","8"
"27","처음부터 뭔소리야 하고봤는데 끝날때까지 이게뭐야 이러고끝남 개연성1도없고 젼혀감동도웃음도없는데 배우들끼리 감동받고웃고울고 나만왕따당하는기분이다...  ","2"
"28","영화가 내용도 없고 원인도 없고 결말도 없음 인과 관계 따윈 개나 줘붜린  영화  ","1"
"29","...시간낭비하고싶으면 봐라  ","1"
"30","관람객그냥그럼 긴장도없고 돈내고 드라마한편보고온기분ㅇㅇ  ","2"
"31","감독 너는 앞으로 영화 찍지 마라 한살이라도 젊을때 다른직업 알아봐 그래서 늙어서 안굶는다  ","2"
"32","노동석씨! 앞으로 영화 만들지 마세요  ","2"
"33","아오 진짜 발렌타인 데이 영화들 다 평점 안좋고 이것만 괜찮길래 봤드만 다 알바들이었네 죤나 스토리없고 치밀한도없고 유치하고 재미 없었다 그냥 마블영화나 볼걸그랬다  ","2"
"34","연출의 중요성을 실감함. 긴박감을 살려야 될 장면에 감성팔이 추억신을 집어넣고, 뒤죽박죽 다중이 캐릭터넣고, 상황에 안맞는 연기연출;; 배우들도 짜증낫을듯  ","2"
"35","이 배우들로 이렇게 쓴게 너무 화납니다. 초반 10분에 속지마세요.아무도 믿지마세요. 포스터도 믿지말고 배우도 믿지말고. 그게 이 영화가 주는 교훈이에요.  ","1"
"36","역대 최악의 리메이크..이게 100만을 넘기다니.. 강동원 티켓파워 살아있네.  ","1"
"37","개노잼 빡쳐서 쓴다 다 끝나고 어이없어서 웃음이 나오더라 내가웬만한 영화는 다 재밌게 보는 편인데 이건 정말노잼 진짜 노잼.. 관객 왕따 시키고 자기들끼리웃고 울다가 끝나는영화 강동원 얼굴 빼곤 칭찬할 법한게 1도 없다 뭔 이런영화가 다 있지...  ","1"
"38","이름없는 감독이 원작과 배우 둘 다 망쳐놓는구나...동원인 그렇다쳐도 계상이도 못 살렸네.이제 그만 내려라...아카데미 후보작들 좀 보자.  ","1"
"39","노답노답노답뉴답뉴납뉴압노답  ","1"
"40","원작을 봐라.. 원작 세번보는게 낫다. 이건 뭐 선남선녀 모여서 쑈하는 느낌. 감독이 문제다. 실력없다 영화만드는거 때려쳐라  ","1"
"41","강동원만 봐도 행복했다ㅎㅎ  ","10"
"42","동원쨩 남신 ㅠㅠ 개잘생겼다 진짜 ㅠㅠ  ","10"
"43","관람객관람객인데 왜관람갹이라고표시가안되나요?  ","10"
"44","관람객강동원님 얼굴만 바라보았습니다~강동원씨 얼굴 평점입니당  ","9"
"45","머냐..강동원은 살이 쪄도 잘생겼냐..  ","10"
"46","덕담으로 안 좋아진 마음 이 영화같이보고 연 끊었습니다.  ","1"
"47","관람객강동원은 강동원이다!  ","10"
"48","감독의 중요성을 일깨우는영화  ","2"
"49","아...진심 재미없다ㅋㅋㄱ좋은 배우들이 아깝다 배우들이 진짜 아깝다 리얼급인데 완전ㅋ  ","1"
"50","내가 진짜 남자주인공이었으면 억울해서 맨날 울었을듯 ㅜㅋㅋ  ","10"
"51","영화 보고 온 관람객인데 시간 가는줄 모르게 재밌게 본 영화. 하지만 영화내용에 좀 현실적이지 못한 어그로(?)가 껴있어서 조금 아쉽다.. 배우들 연기도 잘하고 대체적으로 볼 만한 영화다.  ","8"
"52","와 강동원 아 강동원 우와 강동원 오 강동원  ","10"
"53","정말 시간가는줄 몰르고 봤습니다 ㅋㅋ꼭보세요 강동원 존잘...  ","10"
"54","스릴러물이였지만 보고 나면 마음 따뜻해지는 영화  ","9"
"55","강동원의 연기와 비쥬얼에 감탄하면서 봤다  ","10"
"56","잠시나마라도 2명의 강동원을 봐서 좋았다.  ","10"
"57","가족과 친구들을 다시 볼 수 있게 해주네요  ","10"
"58","너무 재밌어요... 대박  ","10"
"59","나의 삶을 뒤 돌아 보게 되는 영화였네요~ 이거 보니까 친구들이 갑자기 보고 싶어졌어요~ㅎㅎ  ","9"
"60","명절에 가족끼리 보기 무난해요  ","10"
"61","착하고 성실한 강동원의 모습이 실제랑도 똑같은듯 ㅋㅋ  ","10"
"62","지루하지 않고 재밌어요. 강동원 귀여워  ","10"
"63","강동원이니까 당연히 봐야쥬 넘넘 잼씀 사랑해여ㅕ  ","10"
"64","다양한 강동원의 연기 ,  감동적입니다  추천해요 ~  ","10"
"65","스릴러라는 장르 답게 스릴넘치면서도 너무 무겁고 진지하지 않아 누구나 즐길 수 있는 영화일거라는 생각이 든다  ","10"
"66","꿀잼. 오랜만에 흥미진진  ","10"
"67","정말 재밋어여 ㅋㅋㅋ 조금 걱정했었는데 그럴 필요는 없었네여 ㅋㅋ  ","10"
"68","긴장감 넘치는 스릴감에 감동까지 주는 영화 멋진 영화!!  ","10"
"69","추격전이 주는 스릴감에 심장 쫄깃쫄깃하다가 마지막엔 따뜻한 감동까지 느끼게 해주는~ 오랜만에 인상깊게 잘 보고 온 영화~!  ","8"
"70","소설도 그렇고 영화까지 골든슬럼버는 정말 멋진 작품  ","10"
"71","골든슬럼버 정말 좋아하는 작품이였는데 한국 리메이크도 잘된것 같아서 기쁩니다ㅎㅎ  ","10"
"72","잼남 잼남 잼남 잼남 잼남 잼남  ","10"
"73","관람객재미있었어음 강동원 역시나 멋있어!  ","9"
"74","배우들 연기가 너무 좋았다ㅋㅋㅋ 솔직히 일본꺼 보다 훨씬 잼나게봄 ㅋㅋ  ","10"
"75","일본 영화보다 더 재미있어 짐  ","10"
"76","많은 사람들에게 추천해주고 싶은 영화  ","8"
"77","음악부터 연기까지 신경쓴게 느껴짐  ","10"
"78","10점 만점에 10점♡♡♡  ","10"
"79","꼭 누구 가르치려고 드는 니혼진 영화 특유의 캐릭터, 전개, 거북함 한가득. 설날 친척 피해서 영화관 왔는데 잔소리 한사발 먹고 갑니다.  ","1"
"80","후반부에 나오는 김유정 엄청 이쁘게 나와서...순간 놀람.  ","10"
"81","역시 믿고보는 강동원! 개잘생겼겼네  ","10"
"82","역시 착하면 바보되는 세상.. 조심 또 조심..  ","10"
"83","아 진짜 동원오빠 하드캐리ㅠㅠㅠ  ","10"
"84","책과 비교하면 아쉬운 부분도 있지만 영화 자체로는 만족스러웠음  ","10"
"85","개봉전부터 궁금했던 영화인데 이런 스토리였군요.. 재밌었어요^^  ","8"
"86","마지막에 소리 지르게 됩니다  ","10"
"87","믿고보는 강동원!! 흥해라!!  ","10"
"88","너무너무너무 재밌떠요  ","10"
"89","한효주 넘 이뻤다...  ","10"
"90","약속은 남자의 모든 것그 속에 담은 많은 모든 것  ","10"
"91","관람객강동원 연기가 갈수록 멋있어 지네요  ","8"
"92","주인공은 평범하다, 평범하기에 우리들에게도 언제든지 일어날 수 있는 일, 누명 만큼 억울한 일은 없다. 스토리, 각본, 액션, 전부 최고의 영화 10점 만점 말고 100점 만점 주고 싶다.  ","10"
"93","연기 잘하는 배우들 덕분에 잼나게 잘봤습니다 ㅋㅋ  ","10"
"94","노래계속 흥얼 거리게됨앵간 괜찮았음  ","10"
"95","개봉날 조조 사전정고없이봤는데 나름쫄깃해서 재밌네요.에너미오브스테이트가 생각나네요.  ","8"
"96","재미잇어요 추천합니다  ","10"
